date_id	 ,delivery_detail_id,location_id,clients_id,sum_weight
2018-09-19,9335,18157,4745,86
2019-08-13,18136,6432,7142,100
2018-07-20,1339,14524,5999,14
2018-04-11,18704,24717,288,5
2019-10-10,14202,19635,741,43
2018-09-17,19352,15363,9781,28
2019-03-17,21528,10792,8469,82
2018-03-04,4801,16356,8946,51
2020-01-25,6704,19151,5335,87
2020-04-19,10653,3461,2122,35
2018-08-31,10097,1385,2313,75
2019-11-17,15210,23487,10953,28
2018-11-05,10335,20889,5789,40
2018-06-09,20225,28222,9879,56
2018-07-24,11477,15555,3986,100
2018-04-07,11910,25016,5132,36
2020-08-31,1733,16863,396,18
2018-07-23,10932,25438,3018,7
2020-12-05,16686,22543,4281,54
2018-08-12,8702,13191,7674,97
2019-11-01,1245,9608,4075,85
2019-01-08,8492,23782,6744,18
2020-10-24,13056,25394,8392,4
2018-12-24,17979,12802,5167,61
2020-05-30,9053,24145,10452,87
2020-11-14,11698,4886,4347,37
2018-09-08,15891,19809,6833,83
2019-05-08,19697,23708,4261,53
2020-07-08,16323,24209,4304,68
2019-08-09,16537,19425,5018,61
2018-04-15,10909,22831,2288,92
2019-05-22,4822,14163,1216,58
2018-02-03,4904,15692,10394,15
2019-02-19,11324,7973,2845,90
2019-09-24,18874,4,548,92
2019-06-22,10962,22053,6875,55
2020-12-14,16967,886,5172,89
2019-01-25,2502,27940,5463,66
2020-08-16,1556,9585,1254,29
2020-04-22,13153,24835,11933,64
2019-06-01,9244,21235,10254,58
2018-10-11,6071,17154,3649,98
2019-03-23,18723,16943,7012,86
2018-11-28,10526,13727,6306,17
2018-12-06,3164,10985,7811,22
2018-04-20,5010,25934,5800,7
2020-11-21,17263,9237,1531,21
2019-12-13,8452,19781,10923,56
2018-06-27,18384,23028,5638,17
2018-11-07,13027,10243,5872,65
2018-03-29,21262,2509,3465,19
2018-03-23,14286,28787,10089,34
2020-03-04,16797,22228,681,44
2020-06-06,17355,12548,10070,16
2018-08-21,6292,2203,5798,92
