date_id	 ,delivery_detail_id,location_id,clients_id,sum_weight
2020-12-15,6589,19824,4130,79
2020-09-08,11927,3695,787,91
2020-08-14,504,5098,4169,51
2019-06-18,5341,28877,7698,54
2020-07-18,2068,9508,6076,40
2020-08-23,4148,26837,10443,59
2018-02-22,8584,18608,10248,33
2018-12-28,21768,16945,5779,13
2018-04-17,14203,15697,44,37
2018-02-18,7541,25741,8718,33
2019-01-08,16491,17522,11836,62
2020-07-24,6996,3495,4035,72
2018-06-28,12259,13972,5549,81
2019-02-08,5306,2257,9049,89
2020-09-12,11187,6524,1606,72
2020-07-27,21400,16206,7187,11
2018-04-07,13501,1415,10306,3
2020-11-03,721,7253,10284,16
2020-12-18,3912,18364,9119,62
2018-06-21,19170,27800,5385,3
2019-12-23,4890,22957,11636,49
2019-04-18,17137,7694,9058,28
2020-04-10,12890,18282,7490,9
2019-06-06,14820,9770,11137,53
2020-05-06,3492,13966,9675,49
2018-12-29,4821,22549,2769,34
2018-04-09,12911,24284,1184,33
2018-02-22,7968,22769,5564,29
2019-09-25,9746,15218,5891,17
2018-05-17,7378,11237,8496,16
2019-02-15,1703,1977,10493,10
2020-07-08,11753,9362,6179,97
2019-07-06,7031,2703,2924,22
2020-06-11,14751,11582,9962,82
2019-03-23,7426,3133,209,8
2018-06-08,12393,28928,5467,68
2019-05-16,4494,1884,7096,8
2018-02-08,17064,27592,7932,55
2019-02-26,12626,23681,4738,37
2019-07-17,7120,28015,10467,74
2019-10-17,1448,20790,4539,5
2020-10-21,13049,3458,5690,61
2018-03-03,5028,20231,5443,14
2020-07-21,9047,29646,7677,45
2018-11-27,13284,19730,7852,38
2020-06-19,15963,25865,9488,33
2019-06-26,13466,14502,8229,34
2019-03-01,18715,13198,7138,7
2018-04-16,12491,16359,2998,39
2019-07-08,8310,22539,54,54
2020-07-29,14035,10588,6714,81
2019-07-19,1390,6114,1802,94
2020-03-06,6897,11251,6935,87
2019-01-03,5698,10758,5043,63
2018-07-18,16670,18084,9952,45
2019-05-28,2117,11764,3977,3
2019-01-28,16907,25182,3887,81
2018-02-12,14173,25596,5748,88
2019-01-23,11583,5445,8776,43
2019-02-21,12498,14211,7447,4
2019-05-24,20198,24174,9262,38
2020-12-02,1239,26906,4699,10
2019-07-09,9160,1699,9632,85
2019-11-21,21749,1327,8734,92
2020-04-29,18288,22635,2810,85
2019-09-24,11821,22711,3225,43
2020-01-21,20374,14959,5732,46
2020-10-09,7131,17295,911,47
2020-03-05,21883,20890,11353,23
2018-02-21,7408,21088,4344,82
2019-11-02,808,6058,5520,57
2018-05-13,18748,23519,11027,90
2018-01-08,11140,236,5303,32
2020-02-18,18106,12780,4712,93
2018-12-17,10625,5903,134,24
2020-02-02,17360,14918,7082,59
2019-01-01,15438,21010,4518,32
2020-04-10,9543,17474,9920,64
2018-08-16,12810,18750,11647,63
2020-05-16,16559,1693,6789,6
2019-02-09,21387,14818,652,27
2018-09-12,119,6005,10703,44
2018-02-14,13320,15288,10683,69
2018-07-19,4748,19501,4517,30
2018-05-07,7192,12504,10243,78
2020-07-19,10393,7628,11225,96
2018-03-27,12692,4913,2897,67
2018-04-21,10426,9802,5449,63
2020-07-09,4905,13300,9219,2
2020-09-22,15070,17365,5615,93
2020-06-23,17782,20427,5179,73
2018-09-27,523,22808,4118,25
2020-03-03,12240,14873,5508,24
2018-05-25,18497,29910,3172,83
2020-12-05,21289,29212,7705,43
2020-06-07,21076,19757,4132,13
2018-01-01,15827,13089,6805,38
2019-01-26,4684,14096,5904,72
2020-08-05,17177,24975,6059,31
2019-03-28,7864,27528,1254,25
2020-10-11,8767,11381,3736,24
2018-07-20,19631,24334,10720,37
2019-01-07,20376,393,5098,59
2020-10-12,8280,28552,6076,79
2018-06-23,13251,19706,3863,70
2019-06-15,14209,28974,6941,43
2019-10-04,14718,23708,5578,56
2019-08-07,16004,27408,7130,28
2020-04-27,19936,6333,10680,40
2020-03-16,5690,23192,2390,33
2018-12-19,8879,15867,2817,73
2019-11-23,295,13178,10187,65
2020-08-25,6210,24472,8950,32
2018-12-21,16789,11567,10571,39
2019-10-19,19260,24407,902,6
2018-01-21,2158,7640,7435,64
2018-08-23,19561,8741,1117,10
2018-11-03,13051,11603,924,19
2019-06-10,21485,21344,9961,95
2018-11-21,21051,17178,2698,39
2019-11-12,7780,11979,816,65
2018-11-05,16882,15105,10722,4
2018-06-20,21615,4814,9331,98
2020-07-13,8398,11781,2646,18
2018-07-08,21806,29646,1421,70
2020-10-11,14998,6951,11364,90
2019-09-28,19702,9794,8907,30
2018-05-25,10490,22290,7372,7
2018-08-19,14665,16416,10425,72
2020-10-07,11371,6756,4440,85
2019-09-18,1000,21841,5292,77
2018-05-25,1006,9995,10061,70
2019-05-19,10873,7019,4455,95
2020-11-04,12017,13707,5648,88
2020-08-14,12116,20999,8738,4
2018-10-23,7555,26097,11879,4
2020-10-31,12622,248,9771,7
2019-04-12,16055,24569,5316,5
2018-04-26,5025,28540,9647,80
2019-02-16,5202,25519,4110,54
2019-09-22,12816,2986,4329,93
2019-05-07,4211,26602,11856,55
2019-08-20,13775,2284,1606,73
2019-05-22,5406,15361,6876,94
2018-02-22,11103,28638,11561,39
2019-03-22,14748,26444,6518,68
2018-04-22,75,21249,10838,71
2019-11-27,14968,16084,11788,4
2020-09-02,13832,18172,11664,3
2018-01-14,18086,1718,5212,86
2018-05-12,616,23872,11058,79
2018-10-18,3554,16348,3374,34
2020-08-03,7241,8356,8572,2
2018-03-09,6367,1092,7233,46
2019-07-17,2216,14573,11810,23
2018-03-23,19575,28658,10681,49
2019-02-16,14296,6412,5665,70
2019-12-20,12536,16702,9942,89
2020-07-18,10640,23575,35,60
2018-09-21,5017,27868,8216,31
2019-07-07,2752,11593,11853,86
2019-05-16,9457,27798,2565,3
2018-04-01,15705,9886,10823,98
2018-06-11,1441,28207,2141,69
2019-08-20,5290,22400,1899,80
2020-09-19,16913,25661,6802,29
2019-11-24,10371,27594,9253,12
2018-11-05,167,9721,1360,63
2018-09-07,1750,11127,4588,96
2019-06-24,9097,27960,6402,30
2020-12-30,9527,28325,3262,40
2019-11-26,21753,23156,7667,30
2020-09-28,15359,10811,10782,91
2019-06-05,8983,23363,35,98
2020-04-21,16891,7366,4418,20
2018-08-16,20494,25458,4488,57
2020-10-19,21778,477,7250,78
2018-11-06,19050,29379,10466,11
2020-07-22,6014,19888,7407,1
2019-02-25,7681,21625,3808,72
2018-11-10,6165,13405,9975,33
2020-08-05,19215,29271,9449,47
2018-08-10,3030,25593,3102,11
2020-08-13,12469,24586,5398,48
2020-09-11,14381,28867,6896,100
2019-03-17,880,26680,8222,42
2019-11-26,16976,23758,9264,91
2018-09-17,3962,19302,9798,38
2020-11-24,8355,15099,1032,55
2019-09-18,10963,7543,5839,86
2020-05-24,17584,26748,7700,35
2018-07-01,11354,14581,4518,53
2018-09-16,13233,6064,6149,59
2019-08-11,543,7165,2199,79
2019-04-27,437,19614,2816,36
2019-02-22,19406,13155,5483,12
2020-08-04,19858,19407,5635,1
2019-04-14,1234,22391,11084,73
2018-08-08,11598,26296,5531,95
2019-12-23,5830,21941,8498,100
2019-08-21,2995,10717,10453,85
2018-02-24,17458,25040,1655,87
2020-08-25,6600,10865,10889,83
2019-03-13,20849,11404,9203,35
2019-08-17,18019,10460,3636,84
2020-02-07,20038,1200,6271,95
2018-02-24,8315,6819,9710,64
2019-05-25,2162,12157,10206,74
2018-08-21,13431,20601,7558,57
2020-10-30,21415,23143,11112,13
2019-10-21,7295,17624,10036,71
2020-05-25,2990,26820,10203,15
2020-01-27,11318,3546,2858,10
2018-09-21,13101,25714,1888,34
2018-10-01,16105,25955,6418,75
2019-07-21,1359,23999,10364,49
2018-11-11,16258,5580,4943,9
2019-04-01,18665,9801,9871,91
2020-07-19,3647,7755,2669,64
2019-08-04,15462,10081,4142,86
2018-09-10,6672,4068,4107,65
2020-04-24,16908,21732,5026,78
2018-06-21,7123,25152,3269,43
2020-05-01,15025,17892,11353,61
2020-03-19,21875,19024,5487,44
2019-12-19,16498,29523,6575,46
2019-12-05,910,16457,5046,10
2018-06-22,4005,14919,6887,6
2020-08-22,14060,8269,1331,96
2018-08-24,16592,11437,8194,65
2018-08-15,17848,21184,8257,14
2020-07-18,10445,11461,2156,97
2019-09-20,21210,21333,1850,52
2020-10-13,19946,21743,9754,58
2019-07-10,5451,28415,3465,34
2019-08-05,14009,23539,10211,16
2018-11-24,21928,18997,2118,22
2019-09-14,19181,15611,4825,38
2019-07-19,19617,1711,9000,80
2018-01-08,6595,15881,11929,14
2018-12-22,971,21687,7294,85
2019-12-22,2343,10939,59,98
2018-02-21,17320,20103,8325,63
2019-05-11,16212,1232,5342,32
2018-03-24,5994,29806,10046,71
2020-10-09,15426,12435,7553,73
2018-05-15,6995,18582,10708,12
2019-04-07,9137,15386,10972,45
2019-04-06,12346,28957,10068,31
2018-06-19,17050,10597,1268,89
2019-05-06,19398,2141,8062,47
2018-11-11,15410,10055,1338,58
2018-03-02,13557,28986,6917,93
2020-04-10,8766,17849,85,80
2018-04-04,4274,22991,9083,52
2019-10-31,21991,16383,1898,2
2018-07-29,106,28660,10334,75
2020-10-06,2458,5363,11693,2
2019-03-21,8650,26889,11080,5
2019-07-27,6660,10561,11780,41
2018-09-07,19950,25277,9439,69
2020-03-14,2495,21334,6115,95
2018-07-04,20249,2967,10464,80
2020-09-12,15732,5241,8961,46
2019-09-10,8553,6248,614,18
2020-01-09,13762,2649,3707,8
2018-08-02,12792,4542,4112,38
2019-05-08,16993,17716,11075,82
2018-05-05,9732,4716,10676,83
2020-04-16,7287,15078,3176,50
2018-04-12,2811,26148,11593,51
2020-04-21,18001,20737,533,86
2018-10-06,14122,25938,11817,42
2018-11-11,20245,10162,11134,8
2018-01-23,5337,5942,10385,15
2018-04-23,7370,24398,1943,86
2020-02-17,14230,19890,8848,65
2018-09-15,8802,179,11702,39
2018-06-15,11283,11080,2599,93
2018-01-24,18193,9903,4503,86
2019-02-14,12973,11513,10386,52
2020-10-15,1543,17796,675,60
2019-09-07,7915,23027,10244,81
2019-01-12,10705,1758,3020,41
2018-12-13,11237,25420,360,80
2019-05-17,12324,6804,1419,87
2018-08-02,16322,29024,7236,13
2019-02-12,18498,20297,9974,91
2020-07-30,19567,6428,9985,63
2018-10-20,8676,26205,4006,34
2018-07-07,2120,26058,1412,17
2019-04-07,449,20953,1692,41
2018-01-22,8238,2765,11757,45
