Date,ClientID,FeedbackDetailID,ProductID,MeanRatingProduct
2020-09-22,8582,12889,21423,3
2021-01-23,1930,6543,38419,4
2019-02-15,3874,3996,54221,4
2020-08-05,8171,17719,19941,2
2019-05-11,9690,17712,60231,4
2020-04-29,3112,2137,5667,5
2019-12-22,6260,5435,22381,5
2020-07-26,4892,16797,66396,2
2020-12-09,8160,12257,14049,5
2019-10-16,2353,18590,35812,5
2019-02-03,5753,19986,8231,4
2020-01-30,1536,15552,22316,5
2019-02-02,8245,8865,29473,4
2020-10-28,7144,6762,13675,4
2020-11-10,2785,10879,1750,5
2019-03-05,7426,17462,64852,4
2019-05-21,6355,10256,69524,1
2020-10-09,3473,4089,18136,3
2019-01-19,8392,3869,39054,2
2019-08-18,7537,1493,58594,2
2019-07-06,3282,16361,39888,2
2020-12-07,4436,4584,3519,2
2019-07-25,1100,5346,8355,3
2020-02-05,5506,7500,56008,4
2020-07-11,902,9682,44956,1
2020-10-28,7308,6938,19332,4
2019-12-15,901,15365,51438,3
2019-08-28,8378,19029,63414,2
2020-07-27,4068,,56412,
2020-04-03,6862,12802,6470,3
2019-08-03,6624,1775,60383,5
2020-12-01,5556,5744,39058,1
2019-05-30,4702,13113,12725,1
2019-02-11,7578,15071,4372,3
2019-12-16,4660,7617,39310,4
2019-09-29,2330,9485,42789,2
2019-04-08,4084,19354,26521,2
2019-03-17,7162,626,5599,4
2019-07-30,4894,5721,13871,1
2019-08-17,5457,1810,39277,1
2019-09-19,8174,3322,61173,5
2019-12-10,9405,11299,50982,2
2020-03-09,1117,141,44751,3
2019-03-01,5458,2237,55211,2
2019-06-01,4518,1577,4618,1
2020-03-18,9418,,19586,
2019-08-23,3658,7724,25878,2
2019-11-20,6205,12491,37712,5
2019-01-08,6913,10774,27378,5
2019-06-24,3313,14950,649,5
2020-03-21,8400,99,60911,5
2020-12-09,7757,13513,60754,3
2019-06-30,4950,11393,47562,5
2020-08-01,3844,9960,17452,2
2020-10-14,9964,5752,31013,1
2019-11-28,5815,19918,630,2
2019-02-13,4750,6863,23925,3
2020-01-24,9972,18868,3276,5
2020-03-20,9846,154,27651,1
2019-04-19,6494,1284,33671,1
2019-10-30,6015,13954,31094,4
2019-10-27,4253,9220,22459,1
2019-12-14,1781,17957,20027,4
2019-11-05,1132,19794,54585,5
2019-02-05,5882,14556,15043,2
2020-08-25,5996,9094,64227,3
2019-10-25,4746,17723,23109,4
2020-11-21,7566,16903,66704,1
2019-08-16,2969,6435,59906,5
2019-05-30,5778,9868,61901,1
2019-10-03,3079,1820,14553,3
2020-09-28,2666,16265,13805,3
2020-02-26,6101,14215,39524,4
2020-07-10,4819,9326,43060,2
2021-01-14,6340,6253,48316,5
2019-06-29,867,4880,53966,3
2020-01-09,1570,14892,11555,4
2020-11-12,4813,4364,50766,3
2019-07-22,3721,10869,50955,3
2020-01-01,8882,14481,54939,5
2019-03-02,9957,,26545,
2019-12-19,6449,12539,58672,3
2019-12-20,4319,11575,62703,5
2019-08-17,5803,18054,28000,2
2019-08-09,210,15990,42074,2
2019-12-15,8640,3370,4493,2
2019-09-13,5967,12543,44444,2
2020-11-02,4253,17014,50686,1
2020-01-08,3761,13042,54505,3
2019-12-11,455,17008,51685,5
2020-12-28,4463,2456,60319,2
2021-02-02,3744,11445,9179,2
2020-05-06,3494,11717,2778,1
2019-06-20,8043,6238,52368,4
2020-04-23,4372,19318,186,1
2020-10-29,654,6124,62652,1
2020-05-25,7569,17560,53635,2
2020-01-24,2959,17852,22047,3
2020-04-29,1555,16760,35472,1
2019-07-06,3164,,40400,
2019-06-03,5955,9402,44910,5
2020-07-06,3071,8350,37084,1
2019-08-14,3973,18426,27474,4
2020-08-01,9289,14647,40705,1
2019-07-09,9072,6708,7406,4
2020-05-24,5771,4352,65272,4
2020-05-24,2123,10924,48531,5
2019-03-14,2450,5206,53861,3
2020-03-02,4054,3665,41424,2
2019-05-18,901,15503,2918,4
2020-09-15,4994,2296,12443,3
2020-02-01,6583,919,32322,3
2020-03-22,7904,688,55190,4
2020-07-14,5111,12902,10432,4
2021-01-26,1275,1902,48529,1
2019-02-05,1005,2617,18859,3
2019-02-15,9837,16910,26573,2
2020-11-24,7332,5012,64682,3
2020-09-22,7443,18617,5556,1
2020-02-01,1972,14111,41983,5
2020-05-24,3647,945,47990,2
2019-02-25,445,16974,58234,4
2020-03-29,4878,16642,69409,3
2019-12-22,3709,8176,45730,4
2019-05-29,5303,388,32700,5
2020-07-06,4193,4232,57052,3
2019-05-10,9555,5649,19337,4
2019-03-20,4168,9209,12969,3
2020-08-25,641,4980,43558,1
2021-02-04,5683,11087,29863,5
2020-10-07,1429,10054,45479,2
2020-03-31,5026,7375,10439,2
2020-08-18,2153,7510,9430,5
2019-02-13,3591,2597,32730,1
2019-03-17,9417,17947,42035,5
2019-01-23,3244,16679,48572,1
2019-08-19,863,6951,17992,5
2019-07-11,3218,4737,13365,1
2019-01-24,9201,8468,32816,3
2020-01-13,5436,4900,23399,2
2020-03-03,7772,9251,65135,5
2020-02-27,2165,16668,16875,3
2020-02-15,3096,7436,43406,5
2019-03-18,4253,18811,10301,1
2019-08-12,6783,8275,31918,1
2019-03-31,8836,12641,2777,3
2021-01-04,353,11384,58458,1
2019-03-17,4860,16666,28564,3
2019-08-06,5112,19216,21188,4
2020-03-21,4290,8237,40313,2
2019-02-28,5387,17259,69511,4
2020-07-10,9284,7735,68498,3
2019-06-04,7791,19075,9783,3
2019-11-17,2391,16405,65111,3
2019-11-06,9964,8196,30752,1
2020-02-26,3419,18718,44269,4
2020-05-23,7310,17590,65731,1
2020-09-20,8487,11889,60509,5
2021-02-28,5114,,42901,
2019-08-02,1969,19228,64937,4
2019-09-05,723,14510,29204,1
2019-09-14,3549,14088,24645,1
2019-06-08,2789,9273,7945,3
2020-11-24,5609,19329,31321,4
2019-09-13,2249,18654,24388,1
2020-11-03,4618,6504,6289,1
2019-09-28,8412,13291,61295,2
2020-08-17,768,11557,5890,5
2021-02-28,9683,13742,48653,1
2020-12-05,9215,10777,1007,2
2019-05-30,4347,5279,49880,4
2020-07-15,5705,,65877,
2019-12-27,3056,1477,40542,1
2020-08-24,1701,19779,34195,4
2020-03-27,408,6705,32223,3
2020-10-21,2873,3222,19439,5
2020-07-16,3949,7113,57977,5
2019-04-10,6282,2365,10866,3
2020-09-07,4080,3945,21604,1
2019-04-02,1612,3411,23956,5
2019-04-21,2787,2048,1537,2
2020-01-24,4764,11216,29170,4
2019-02-27,6416,5402,4889,1
2020-09-13,5266,11521,31438,5
2019-09-01,7225,10641,12609,5
2019-08-29,7399,13649,53404,3
2020-03-24,2013,314,37100,4
2020-11-19,6106,754,59511,3
2020-06-11,1014,223,24799,1
2019-08-20,8903,19772,15753,2
2020-11-10,5662,6874,17455,5
2019-01-23,2182,10251,19678,2
2019-11-17,762,9587,12172,4
2019-02-04,5784,2529,37964,4
2019-04-18,6588,1186,61931,5
2019-07-15,5828,9946,69782,3
2020-12-30,8961,4059,63021,4
2020-11-24,2529,7426,10941,3
2020-11-25,9854,9503,45462,4
2021-01-17,2007,14736,65688,5
2019-07-10,1570,7087,67752,2
2019-02-11,5235,2645,12180,5
2020-10-31,2579,17249,63068,5
2020-01-28,2989,4475,22935,5
2020-07-05,7606,18691,21430,3
2020-03-05,369,399,31221,4
2019-03-20,2891,,33348,
2021-01-07,3551,10961,23460,3
2020-05-11,7117,77,13784,4
2019-09-13,7428,16207,4334,3
2019-10-13,8457,15194,9100,5
2020-06-20,3798,8490,1498,2
2020-08-10,2340,18602,10377,1
2020-06-06,9269,6171,5758,4
2019-08-19,3858,9289,25242,3
2019-02-12,7851,1673,14937,5
2020-06-16,2193,7554,66138,4
2020-08-03,7494,14554,9783,1
2020-12-03,7941,18877,5779,2
2019-09-06,4431,1592,36321,2
2021-01-14,6153,14338,52228,4
2020-07-14,8991,13227,12966,4
2019-03-20,601,779,52608,3
2020-07-14,5043,9649,47427,4
2020-01-16,6599,1787,799,2
2020-10-12,6324,4662,62475,3
2020-03-21,4607,4617,6970,1
2021-02-27,6197,16215,63256,4
2020-10-11,3670,4081,64479,4
2020-07-07,1803,5940,4767,1
2020-11-22,951,11792,48209,5
2020-06-22,8752,1822,16817,4
2019-10-07,7165,1424,43567,3
2019-03-19,1983,537,51605,1
2020-09-18,391,19101,2797,3
2019-05-04,1417,7732,4848,5
2020-11-24,2564,12810,12096,1
2019-12-01,3707,9857,25357,1
2019-07-10,1164,3171,13799,4
2020-12-04,8553,1704,45940,1
2020-03-07,5980,14279,7685,4
2021-02-12,3961,4805,51146,2
2020-05-25,8684,12812,11282,4
2020-07-11,6467,17644,26318,3
2019-08-08,9339,15301,59307,2
2019-07-09,4325,12907,40605,2
2020-03-03,6761,6985,59387,5
2019-02-02,2769,10326,35170,1
2020-05-30,8808,2256,24794,1
2019-03-24,2981,2645,51686,3
2020-10-25,165,4702,67107,4
2020-12-11,719,12818,6488,3
2019-07-26,3176,5526,30028,1
2019-12-07,6312,1359,18687,1
2019-05-30,5846,17214,3039,3
2020-03-03,5138,19164,987,4
2020-12-01,6587,2113,21283,5
2020-11-11,3825,9822,44113,4
2020-07-15,5119,12428,20278,3
2019-06-05,7343,3503,27470,1
2020-05-06,9101,14439,57894,1
2020-01-07,2048,4526,67255,1
2019-03-10,8636,3995,42891,2
2019-12-06,5633,14116,45413,1
2019-03-14,5305,16501,32462,2
2019-07-29,6987,9919,63124,4
2020-02-05,3743,15620,58670,1
2020-11-19,5441,5973,21015,5
2019-08-15,8716,10986,51355,3
2019-06-12,168,2438,1215,4
2019-07-16,2994,17791,24640,5
2020-12-13,4951,6675,21944,1
2020-05-25,5616,17753,40951,1
2019-07-02,4631,6292,33350,5
2020-06-04,3111,9403,17916,3
2019-12-28,9706,15589,40656,5
2019-02-02,7158,13650,42363,3
2019-12-31,7597,6991,66268,5
2019-07-24,6240,7868,14931,5
2020-03-01,2638,10185,54241,1
2021-01-21,4572,1943,56602,5
2020-04-24,340,4543,13096,5
2021-01-11,8247,7774,26847,2
2019-03-13,7360,8787,703,5
2019-02-26,8317,6677,23959,2
2020-06-18,5691,10764,56515,2
2019-10-29,5898,11198,30234,4
2019-04-13,7840,11465,4576,1
2019-04-04,9087,12502,56170,2
2019-04-04,8196,,36684,
2020-01-05,3248,3620,26037,3
2020-06-14,7078,1349,9833,4
2019-07-29,8438,7026,13583,3
2020-07-25,1352,2827,44281,1
2020-01-15,2383,14991,65190,3
2020-01-03,1459,17472,4358,5
2019-08-27,3921,9401,64361,2
2020-08-15,9585,13047,6597,2
2019-11-10,7838,19957,6285,1
2020-04-29,7213,18218,8963,5
2021-01-20,6372,9121,39757,3
2020-11-01,1469,4785,65864,2
2019-03-04,7918,967,37230,5
2019-01-03,7434,18641,62350,5
2021-02-20,646,13291,42882,2
2020-12-17,2270,6812,27135,5
2020-01-06,1508,5732,42899,2
2019-07-15,1938,11598,29516,5
2019-10-23,2689,4488,19904,5
2020-02-12,9306,8462,14773,2
2020-12-05,5732,964,25928,3
2019-08-02,8800,6902,26918,2
2020-10-03,9093,18330,24046,5
2019-12-06,8342,1514,37478,2
2019-08-28,5843,8181,19426,3
2020-02-09,700,17625,60063,4
2020-07-28,2635,7821,27959,4
2020-09-05,1709,14645,8324,5
2019-04-26,830,6630,3702,2
2019-12-17,484,4663,63127,2
2019-07-01,9239,11464,65116,5
2020-09-17,9391,4126,35705,4
2019-09-14,4605,19578,52733,5
2019-06-24,6717,6814,46199,1
2019-07-09,8783,,16577,
2020-02-29,8394,13759,67385,4
2020-08-28,6980,1727,57857,2
2020-05-31,5408,6289,65286,3
2019-01-26,5026,6318,7329,2
2019-01-19,1785,13067,11216,4
2019-12-27,6321,17572,16782,5
2021-01-19,8881,6159,42140,4
2020-05-03,214,16462,24198,4
2020-09-02,9798,10227,38244,3
2020-12-04,673,2787,56629,3
2021-01-03,5456,6214,61064,1
2020-06-02,3001,1116,61370,5
2019-08-06,1559,13623,64786,1
2020-12-25,3740,6351,53687,2
2019-05-12,8480,8379,61068,2
2020-02-01,7852,13178,59986,2
2020-11-08,1971,10464,63023,1
2020-11-14,9602,15603,22083,4
2020-07-05,5234,17549,48209,5
2020-02-13,7262,2438,47647,1
2019-09-16,1724,16233,10022,2
2020-06-24,5780,499,69962,3
2019-09-26,5814,12085,4060,4
2020-05-26,5767,17798,15749,1
2020-05-18,2078,12603,45763,5
2021-01-07,3465,6417,51017,4
2020-10-04,3838,2817,64681,3
2019-07-01,2638,1284,62307,1
2019-11-16,3515,4780,33322,4
2020-07-18,557,5899,32520,4
2019-05-11,6332,12994,61339,1
2019-02-07,8263,13515,13850,5
2019-04-13,7173,5096,38940,2
2020-12-31,5188,6292,5234,4
2019-10-10,6309,11092,53732,1
2019-03-17,62,1099,3086,5
2019-05-05,2743,8275,50592,4
2020-01-18,4726,15931,52352,2
2021-02-09,2733,17255,34645,1
2019-07-19,7055,8029,44079,2
2021-02-27,3158,4465,33331,3
2020-03-07,4733,12962,21268,2
2019-02-15,8464,7531,1440,4
2020-04-19,3788,16152,68873,1
2019-12-29,9336,11923,27990,5
2020-01-27,4780,10367,46342,4
2019-08-14,3624,14312,31017,2
2019-05-05,4673,10926,54658,2
2019-12-27,272,10339,55991,3
2020-06-30,2872,14223,4039,3
2019-06-23,1483,14060,28161,2
2019-10-15,369,18482,29838,1
2019-03-02,6039,6688,63584,3
2020-05-01,4827,7234,24893,4
2020-10-04,3752,6603,29100,5
2019-06-12,4274,9554,41478,3
2019-12-27,9733,4644,1569,3
2020-11-30,2596,6666,52009,5
2019-07-06,3601,12779,3465,4
2020-08-28,9998,7114,40722,5
2019-06-06,3855,,18794,
2019-10-11,9537,12478,56464,3
2020-05-03,33,12149,39406,5
2020-12-21,4143,6061,53911,5
2019-04-17,3437,15241,24227,4
2019-08-26,998,19390,24393,4
2020-02-05,3742,7062,68663,1
2019-12-06,8022,4077,4603,4
2020-01-15,3151,9996,68884,5
2020-11-03,7156,17618,49929,4
2019-03-05,1508,18635,48360,1
2020-03-08,7502,12249,27291,3
2019-12-14,11,14350,50240,2
2019-11-21,3916,10828,61091,4
2020-03-17,7936,11452,61056,1
2019-06-12,2409,3092,54708,5
2021-01-16,477,1302,35471,2
2021-01-22,2687,12540,21063,1
2019-02-27,9311,13895,6231,5
2020-10-31,9202,13812,30544,3
2019-01-22,7094,9836,22192,2
2020-01-16,2242,6030,50453,3
2019-08-24,726,4587,12902,3
2019-05-11,3264,13382,1782,4
2021-02-21,8059,8465,21524,5
2020-01-10,7838,14461,27900,3
2019-09-08,3903,18340,26473,2
2019-03-01,8305,6413,10686,1
2019-01-01,1260,2367,19726,4
2020-07-24,5943,18034,65578,3
2019-10-13,1741,550,7696,2
2020-10-12,2048,14053,17238,2
2020-05-20,4444,14501,38941,3
2021-02-13,1083,254,47084,2
2020-02-06,119,14768,10567,1
2019-09-24,3709,233,41094,3
2020-09-01,8357,3300,40376,1
2019-11-18,4768,5730,45497,5
2020-05-17,5495,1763,61750,4
2020-03-30,4661,2997,20639,2
2019-01-10,616,6341,27032,5
2020-09-21,3725,16611,8549,4
2020-03-28,4730,2918,4346,2
2019-10-04,2706,17145,56782,4
2020-02-01,9626,14218,29275,5
2020-10-27,8748,3532,57569,5
2019-10-03,2043,3228,956,1
2020-10-03,5461,19477,22164,4
2019-01-10,3908,10095,57783,4
2019-08-29,6620,6386,14027,2
2020-12-30,4546,11305,30343,5
2019-08-24,7495,10516,24809,2
2020-12-10,7114,12889,40706,3
2019-11-22,6290,7083,54621,2
2020-09-19,5784,14448,43548,1
2019-10-14,7714,11066,31446,4
2021-01-29,7119,5371,7991,1
2019-03-01,2880,17361,62785,3
2019-07-09,2756,5887,20656,5
2020-01-15,8006,12294,14060,5
2019-10-27,2255,18089,6747,4
2020-07-03,5290,3466,61924,5
2019-04-30,8124,3993,62424,2
2020-03-01,7106,9695,43841,1
2020-09-16,1155,5338,22593,5
2019-09-27,6973,12576,23368,3
2021-02-08,5840,10864,43167,4
2020-08-17,1515,14414,37562,3
2020-07-01,5401,11612,6834,1
2019-07-11,1778,4121,45816,5
2019-01-10,4895,10125,3994,5
2019-12-05,6111,13807,48589,1
2020-11-01,6413,7349,11032,4
2019-01-07,7842,6634,69779,5
2019-09-09,7651,2486,17248,3
2020-10-01,6166,8389,66006,1
2020-10-29,5826,16369,53147,4
2021-02-03,4980,18481,13526,2
2019-04-09,1500,3640,51615,3
2020-07-07,7916,3444,25553,2
2020-08-13,6605,17442,46489,2
2021-01-25,4415,5647,68281,2
2019-09-09,3206,15613,55908,1
2021-01-21,9988,18864,3724,3
2019-07-15,1199,11940,67062,2
