Date,ClientID,FeedbackDetailID,ProductID,MeanRatingProduct
2020-01-04,2475,5849,250555,1
2019-12-25,8013,2363,370387,4
2020-05-31,6883,1577,128310,5
2019-06-17,7602,8081,23721,5
2019-09-15,3175,1862,24174,4
2020-03-29,593,8855,70112,4
2020-01-02,2443,6583,121350,2
2019-05-26,1753,582,246397,1
2020-06-30,8847,3710,60527,5
2019-04-30,5533,4854,108324,1
2020-08-19,2135,974,316764,3
2020-10-15,8947,3611,128823,5
2019-10-22,8774,6565,63904,5
2020-06-19,6756,6323,286141,2
2021-01-04,8275,7206,387082,4
2020-01-31,7381,2788,258389,3
2020-07-01,5699,324,364162,5
2020-05-17,1171,9199,316802,4
2019-11-03,6980,7041,197181,2
2019-11-29,1784,7853,154619,5
2019-04-27,8644,1152,246653,4
2019-08-03,4519,8294,140530,4
2019-12-27,4566,581,397054,4
2019-10-12,9087,3002,26325,4
2019-03-12,178,8764,213345,1
2019-12-11,1880,8499,264086,4
2020-08-02,1208,2017,123203,2
2020-08-10,9865,7427,220670,1
2020-09-26,588,4530,21741,3
2020-09-27,7377,34,122978,1
2019-08-20,374,9853,394447,1
2020-06-29,1088,8784,266043,1
2020-08-15,8119,4580,311012,5
2019-11-08,7171,,56021,5
2020-12-09,4914,7826,101942,5
2019-05-27,8582,,93140,3
2020-11-16,6336,4346,328685,2
2019-10-10,3962,1264,1724,2
2020-05-16,8337,6987,298447,1
2019-12-27,1673,3658,364369,3
2020-12-12,7463,3425,298613,1
2020-09-21,2324,6165,156552,2
2020-07-26,618,2425,312389,4
2020-05-06,6939,7004,188691,3
2019-05-02,9678,8793,376689,1
2019-03-22,5390,6305,266470,1
2020-09-07,9850,2477,34449,1
2020-01-16,5996,1025,97886,2
2019-12-17,3252,7781,149117,5
2019-03-24,8719,1282,364210,5
2019-01-11,9691,8255,311705,3
2019-08-09,7726,9644,83087,2
2019-12-23,9788,,386235,4
2020-10-18,2382,3840,148624,3
2019-10-01,466,1712,110078,3
2019-11-03,3975,2757,272048,2
2020-06-26,5832,8820,279999,1
2019-12-20,4197,9182,67856,2
2019-01-19,6503,8445,239685,2
2020-08-06,4382,8388,62211,5
2020-06-05,7168,3481,330913,5
2021-02-03,2119,8426,78434,4
2020-11-19,6799,9441,39259,1
2019-11-28,889,6089,376184,5
2019-06-02,2460,1516,32370,2
2019-12-07,5627,5300,300828,4
2019-10-30,1338,2704,156930,4
2019-12-04,5773,8984,24491,5
2019-10-24,43,7322,288658,3
2019-12-14,6414,4840,393009,1
2019-07-28,3442,8397,87884,1
2020-02-09,2587,1943,33945,2
2019-08-24,7542,2554,130594,2
2020-03-19,4267,5336,184497,2
2020-04-12,9434,406,354248,2
2019-10-14,1136,776,236221,4
2019-07-31,9778,,112372,5
2019-04-09,172,6221,346970,5
2019-11-16,5280,2505,111365,2
2019-08-19,8097,324,121861,1
2019-06-04,452,2133,350913,4
2020-10-26,223,7768,322041,1
2020-09-25,3025,6633,370573,4
2019-08-25,1806,9340,144697,5
2019-02-11,7395,2388,270031,2
2020-12-08,5184,7515,306955,1
2020-09-21,9371,3681,219387,3
2020-10-11,3915,3851,357979,5
2020-08-28,2248,5077,107442,1
2020-11-06,9559,8628,302112,1
2019-03-01,3075,4776,252989,5
2020-08-04,8981,2409,174795,1
2020-07-14,9878,4031,87390,2
2019-09-11,1261,5548,122043,3
2020-07-30,9552,487,336226,3
2019-06-02,5004,4754,107683,2
2020-02-13,7623,7142,133007,5
2019-01-12,1293,1156,99111,3
2019-01-22,4714,3083,113447,2
2019-10-05,7219,380,63535,4
2019-02-08,1717,1992,177212,5
2020-10-27,6723,4585,375191,5
2019-10-28,425,706,57369,5
2019-04-15,8146,6300,194562,5
2019-06-22,9232,8404,339187,1
2019-09-28,171,6689,70382,1
2019-10-10,3173,4825,112586,4
2020-11-03,8340,9444,323042,3
2019-10-03,8173,9449,25617,2
2021-01-12,2724,7227,2212,3
2020-03-01,761,6278,56382,4
2019-07-03,1556,2547,223331,2
2020-06-05,7323,1765,107081,3
2020-12-10,1286,9916,67623,5
2021-01-24,1499,8816,389285,1
2019-03-29,3243,984,318386,1
2019-05-05,1605,6319,195633,2
2021-01-04,675,7783,220402,1
2020-07-25,6357,9208,46899,2
2019-04-17,2665,5381,198078,4
2020-01-11,7760,8685,12395,5
2020-03-25,545,6040,194895,3
2020-11-17,6611,9502,173309,4
2019-02-20,5732,9172,62809,2
2020-09-21,7581,3739,59397,4
2020-09-12,8423,5151,246032,1
2019-04-07,9554,1290,42950,4
2020-06-19,9585,9881,112902,2
2019-06-19,4629,5326,108678,1
2019-11-17,2707,967,49841,4
2019-01-16,1359,8764,8297,3
2019-09-27,8379,5466,283125,1
2020-05-09,2528,711,232048,5
2020-08-07,4749,4361,115574,2
2020-09-11,3597,6649,148392,4
2019-09-30,8359,5057,237623,4
2020-07-20,8457,2725,43562,5
2019-10-04,551,4895,389003,3
2021-02-01,6977,9636,81581,2
2019-06-06,8023,8561,211567,1
2020-10-18,3209,563,165709,4
2020-07-20,4115,8884,359845,3
2020-12-15,8717,50,245648,4
2019-11-05,1726,8450,323936,2
2020-08-15,3994,9144,538,1
2019-09-05,1961,2537,69484,4
2019-03-07,804,9813,103825,4
2019-09-06,6686,2996,395603,4
2019-06-11,654,3917,90064,3
2019-12-23,7583,8074,235522,2
2020-08-16,5285,4521,96049,3
2019-11-03,5413,2440,380574,4
2019-02-25,9831,8387,244775,4
2020-05-11,1365,4853,159119,2
2019-06-06,7073,1082,90119,4
2019-07-31,1997,,283934,3
2020-06-20,3263,6159,273762,3
2019-05-23,3257,,265300,4
2021-01-08,7795,1128,238835,2
2020-04-27,5297,7642,382099,3
2019-06-09,4599,680,95211,4
2019-04-24,4422,2254,378444,2
2019-07-10,6360,407,85292,5
2020-10-27,2188,618,51116,4
2020-04-28,2280,4591,362068,5
2020-07-09,5489,8033,173656,3
2019-11-22,7838,6025,6724,5
2019-03-25,3178,5229,170111,1
2019-08-02,7563,9248,82333,4
2020-11-30,2783,6728,347224,5
2019-12-14,507,4409,51921,4
2021-01-26,551,7031,59251,5
2020-01-03,7238,7428,179469,1
2019-09-15,8591,462,116272,1
2020-04-06,5055,6190,190100,3
2019-11-05,6901,8959,146504,3
2020-08-30,2887,6877,245869,3
2019-08-05,8596,38,265660,3
2019-09-24,2501,1493,338084,1
2019-03-08,7691,6862,267965,2
2019-03-07,1497,8965,323795,1
2019-04-07,2347,6628,108831,1
2020-08-17,4171,5469,373031,5
2019-10-15,4702,2773,316368,4
2020-09-20,2465,896,150869,3
2020-09-27,220,8229,76318,1
2019-09-18,1268,2994,60864,3
2019-10-21,5275,9491,348009,4
2019-02-12,4574,6297,325550,3
2019-09-21,8044,6672,34654,3
2019-06-11,3910,1242,309012,1
2020-12-11,9586,5198,304445,4
2019-10-30,7230,9636,321106,5
2019-04-26,9124,7847,15964,1
2020-10-23,8103,5297,88132,3
2020-03-14,804,5352,200119,5
2020-11-10,7582,3782,209635,3
2019-08-15,4155,9631,308115,5
2020-09-28,4017,3917,194480,1
2020-10-16,3540,857,398014,1
2020-11-06,3391,349,137792,4
2019-10-02,8086,9725,300587,1
2020-10-28,1220,3230,193876,1
2019-01-25,4541,8509,86817,4
2019-08-12,7383,1963,167479,4
2020-06-17,7747,3731,44262,2
2019-11-20,9067,8367,111893,5
2019-01-24,7431,8694,103630,5
2019-08-15,6514,7103,73030,1
2020-03-25,8826,4187,148591,2
2020-09-02,7294,1465,248731,4
2019-05-28,1386,713,318739,5
2019-02-13,3330,2384,360480,3
2019-07-10,3964,9985,4160,4
2020-04-03,7146,1221,245531,2
2020-12-30,5036,6369,307792,5
2021-01-16,298,8965,105561,1
2020-08-30,5377,7970,122103,2
2019-03-04,3620,2228,345235,4
2019-12-07,9642,9953,260662,2
2020-06-05,8176,,337722,5
2020-11-23,1468,1306,368108,1
2019-05-23,2758,2087,76031,2
2019-03-02,9454,5088,278354,4
2019-02-13,4417,6273,387253,2
2019-04-12,6973,2121,287355,3
2019-08-19,6624,9004,85221,5
2019-03-04,4801,6883,212741,3
2019-12-09,7789,7719,254967,3
2019-06-11,8068,5355,342943,2
2020-02-07,6538,9413,300866,5
2020-12-10,1164,5016,158837,1
2020-02-02,9461,3548,52529,4
2020-01-12,9294,2021,29747,1
2021-01-11,5948,7374,360370,2
2019-11-27,2482,867,85695,1
2019-02-01,6407,3788,170306,4
2020-03-01,4084,7228,335853,4
2019-08-17,5358,7065,154017,2
2019-07-22,8435,2153,84955,5
2019-08-04,893,4640,296523,1
2020-01-09,746,9061,355554,4
2020-02-17,234,5691,345217,3
2020-04-15,3231,8659,356853,2
2020-01-22,6743,5274,320356,2
2019-01-20,1535,3478,259369,2
2019-04-13,5845,550,214695,2
2020-05-26,3120,,218353,1
2020-10-29,3923,7497,278068,4
2019-05-15,1641,943,235113,4
2019-06-02,2217,2855,154177,3
2019-08-05,1969,7801,302479,2
2021-01-05,5159,5961,279688,1
2020-09-04,2180,516,319955,2
2019-01-28,2847,8412,73654,1
2020-05-16,2516,1115,135743,5
2019-03-25,1937,9830,190035,4
2019-08-12,6875,8535,382875,4
2019-06-22,5327,9528,5375,4
2020-02-19,1451,357,148174,5
2019-01-21,5696,1403,384083,5
2019-02-26,7835,3913,253406,5
2020-08-19,9136,4884,324985,4
2019-12-22,5385,6611,32974,1
2020-11-03,8964,5463,38608,4
2020-05-31,8670,7759,210417,5
2019-07-12,9212,7653,312316,5
2020-10-27,91,2788,41759,3
2020-03-21,6728,7111,341202,1
2019-03-17,204,2173,261203,5
2021-01-10,1887,6767,297816,2
2019-11-25,8161,7103,390550,1
2020-05-29,4050,4214,8523,1
2020-02-20,3840,2985,390694,5
2020-12-02,6122,5066,312845,5
2019-11-26,2768,4374,183015,4
2019-10-10,2707,8609,266863,3
2019-06-14,8348,6722,174314,5
2019-11-16,1027,8386,280819,2
2019-03-02,3030,7340,37048,3
2020-08-30,9256,3215,181149,5
2019-05-13,3699,3826,84279,1
2019-10-23,1141,9174,366797,5
2019-04-06,1333,8546,287239,2
2020-06-14,1926,4214,7037,5
2019-05-29,3166,9758,51389,1
2019-12-27,439,3014,187639,1
2019-07-18,8521,4516,210308,2
2019-05-21,3042,198,317093,2
2020-10-17,454,8427,79522,5
2020-01-21,2901,8089,77800,2
2019-10-14,3878,9608,67614,1
2019-04-29,7535,3899,51917,5
2019-09-24,8725,1321,11172,1
2020-08-22,2326,5183,161319,2
2020-11-12,4351,1976,280163,4
2020-12-13,5962,5788,40019,2
2019-07-26,9907,6195,257023,2
2019-09-12,4498,5451,273996,1
2019-04-17,6187,1137,205,1
2019-02-22,7869,7224,95469,5
2020-01-25,2644,9825,354464,5
2019-06-23,35,3862,202235,5
2020-04-15,1175,7108,377352,1
2020-05-25,3600,2925,142708,1
2020-01-25,1215,7765,382253,2
2019-04-25,718,1212,296161,3
2020-09-23,1192,6868,255423,3
2019-07-26,404,5352,203199,2
2021-01-03,9205,5767,201505,4
2020-08-31,485,3482,391075,3
2019-09-08,9405,5807,340876,3
2020-12-02,1037,4124,244751,4
2020-03-10,3854,4146,203900,1
2019-07-13,461,7309,367096,3
2020-10-05,949,4972,352744,1
2020-06-30,8551,5719,83584,2
2019-11-17,8844,1163,316095,5
2021-01-06,2992,5426,230123,2
2020-09-25,1686,404,15712,2
2020-08-20,1985,9036,147781,1
2019-06-23,8398,3349,129987,4
2019-10-25,3866,6527,246279,3
2019-06-30,1288,2789,293347,1
2019-07-13,9655,4913,35703,4
2020-08-09,3269,5486,302669,2
2019-07-10,4626,3394,85978,5
2020-08-28,8408,5071,95615,1
2019-08-15,4324,2162,56568,5
2020-02-27,8571,8656,317829,3
2020-03-30,274,9718,377877,5
2019-05-03,24,5115,121840,1
2019-06-28,5663,6531,181791,2
2019-02-20,4989,500,137014,2
2020-04-20,6059,7953,326700,2
2020-10-23,2519,2358,174693,1
2021-01-11,544,5920,48834,2
2019-08-24,3352,4533,8111,4
2019-12-30,8578,7622,83779,2
2020-02-21,7272,8230,299726,2
2019-12-04,8822,7082,182357,2
2020-01-25,4951,9380,194317,1
2020-08-29,3618,3160,193565,5
2019-11-02,3066,5411,159910,5
2020-05-26,5780,4561,263251,3
2020-04-27,4399,6556,49731,4
2020-09-22,9729,2892,2645,4
2019-12-06,9718,1765,70022,1
2020-09-11,1285,1365,341688,5
2019-07-01,8794,2602,382696,3
2019-11-04,8381,2937,63659,1
2019-07-20,2275,7731,219744,4
2019-06-11,5309,2297,268199,5
2019-09-25,1590,6209,165874,4
2020-03-04,2323,7135,385313,4
2019-10-20,6226,5235,353074,3
2020-05-02,730,,270028,5
2020-06-02,5184,3750,168095,5
2020-12-30,7655,4619,99285,2
2020-09-29,5236,2141,95754,5
2020-10-29,7019,2050,392925,2
2020-03-07,429,5578,126200,4
2020-03-12,6218,2100,232992,4
2019-01-27,4542,4414,333793,3
2020-09-06,9750,8375,337281,1
2020-07-01,5551,5880,146114,2
2020-12-25,76,5740,209935,4
2020-08-20,8265,3633,284933,5
2019-04-17,5919,680,277942,4
2019-05-10,2265,5570,222246,3
2020-08-25,6621,4194,197723,2
2019-08-16,8274,7967,98890,4
2019-05-15,9053,451,241788,5
2019-10-26,1299,7525,190516,1
2020-01-29,4430,3235,65210,2
2020-01-26,7960,5029,149218,2
2020-06-20,5098,3864,333467,4
2020-11-29,9832,4725,25922,3
2020-08-10,5682,6123,226125,2
2020-09-17,9080,6399,166477,1
2019-12-22,4787,5797,247126,1
2019-08-05,9357,6142,172570,4
2020-03-24,908,5754,312493,3
2019-05-21,7254,5828,182780,3
2020-06-18,6077,5706,324659,3
2020-01-09,616,9476,282781,1
2020-12-30,2991,4094,21075,2
2019-12-21,2717,9545,183045,5
2021-01-04,1573,9493,345659,3
2020-02-09,3154,8808,200604,2
2020-09-07,9833,2037,266748,5
2020-06-07,5520,4404,360910,5
2019-04-17,9881,4697,51006,1
2019-06-16,7020,7964,50283,1
2019-05-27,7350,6364,259641,4
2019-05-27,9615,8540,97699,4
2020-03-18,7132,4476,28754,5
2019-03-04,5493,8587,335016,1
2020-06-22,5592,7391,317337,2
2019-06-19,8934,1645,217186,2
2019-03-20,5551,3679,85641,3
2019-10-12,8311,6116,161555,5
2020-11-11,9655,226,189862,3
2019-01-25,4660,9524,359342,1
2020-10-31,8573,6717,246292,2
2020-05-21,1037,31,285504,1
2020-07-26,2783,8010,276661,2
2020-11-21,7643,3133,338294,2
2019-03-12,4173,8059,341387,1
2020-09-28,7227,4451,323421,3
2019-02-11,4507,6258,250588,1
2019-04-19,1368,7335,74905,2
2019-06-25,310,384,94235,1
2020-08-07,7553,3277,230946,2
2019-02-13,9101,6373,247954,5
2020-10-18,5458,299,66360,3
2020-10-04,7956,5744,74594,2
2020-10-27,7346,9131,2655,4
2020-11-28,9885,644,1189,1
2019-02-02,9615,5582,234067,1
2019-02-12,9942,1000,34988,5
2020-10-06,9988,1818,225363,3
2020-04-14,326,1909,28991,2
2020-08-21,2452,6384,119620,3
2019-02-19,5051,9766,95448,4
2020-09-07,5314,7951,83473,1
2019-11-19,1218,2126,303570,4
2019-09-18,951,6738,215922,4
2019-01-23,2664,9302,118956,4
2019-08-30,484,6043,240173,4
2020-09-30,5944,4677,342314,2
2019-02-07,3455,,15732,2
2019-07-02,5865,3534,298060,1
2020-05-20,101,6061,256917,3
2020-10-16,1345,6854,227634,4
2019-01-28,2260,8572,87383,2
2019-04-20,8040,8575,255764,1
2020-05-03,5723,7557,361273,5
2019-05-30,9655,8423,255968,2
2019-03-07,3667,5647,335559,2
2019-01-21,4738,1268,126150,2
2020-07-18,1155,2677,122299,5
2019-01-20,1051,2935,258814,5
2019-01-13,7999,9755,362574,5
2020-09-06,1409,7941,95363,3
2019-03-07,6689,407,302426,3
2020-09-28,1522,7994,64405,2
2020-03-22,1117,4461,345451,4
2020-11-21,5599,946,328701,5
2019-09-20,4952,5618,182654,1
2019-04-30,6716,3566,376081,1
2019-03-20,4710,6475,241806,2
2020-10-18,6087,8698,31807,2
2019-05-08,5805,4289,373687,1
2019-11-23,8270,8569,269048,1
2020-08-28,6505,8834,53105,5
2019-06-01,8926,3023,134129,5
2019-07-14,4371,739,390538,3
2019-11-10,586,129,59117,4
2019-10-22,9644,3771,199655,4
2020-09-12,9266,9132,144537,5
2019-11-11,6839,4950,124268,1
2019-04-10,6955,5128,193259,2
2020-11-09,9685,8195,9525,3
2019-07-31,3520,3271,244790,1
2019-05-28,2551,9750,337097,1
2019-07-27,5975,423,305606,4
2019-07-15,615,8127,330575,4
2020-02-14,9318,6415,273366,2
2019-02-26,2716,221,137867,1
2020-08-25,1318,4501,35132,3
2019-08-25,5196,9087,325115,5
2020-07-18,8395,3335,34256,2
2020-04-08,2111,3526,321515,1
2020-10-28,6062,9440,86036,4
2019-08-23,4100,2528,24202,5
2019-05-13,3426,5132,271923,4
2019-07-08,8218,4687,94952,5
2019-01-31,8958,8924,16759,1
2019-10-15,1358,8944,30104,3
2021-02-01,6300,6402,9820,1
2019-11-15,538,6128,284602,2
2020-12-05,2252,9479,167205,4
2020-01-26,7881,5194,373001,5
2019-11-01,3643,2234,312841,3
2019-03-05,6399,2967,366340,5
2019-09-19,3963,2600,196010,2
2020-07-18,5358,5557,59761,3
2019-03-19,6950,236,343581,3
2019-06-24,2721,4670,304061,1
2020-07-03,7531,9602,333312,4
2020-04-04,7944,2003,233822,3
2020-07-23,6172,6505,52959,2
2020-12-17,9238,7714,110572,2
2020-11-07,9075,6166,248957,3
2020-11-03,5938,6526,362719,3
2019-01-21,2914,2717,251715,2
2021-01-17,8805,424,394776,1
2019-10-20,5893,1802,319258,1
2020-06-12,2750,240,21589,2
2019-06-04,1598,8443,212094,5
2020-06-26,7195,3123,188776,2
2020-03-26,1128,5957,327301,3
2019-01-15,1099,250,391311,1
2019-12-21,5450,2321,46646,2
2020-10-14,8884,3041,299476,3
2020-07-20,8113,6706,289875,3
2020-12-18,768,3434,41033,4
2019-08-24,6213,7512,93699,2
2019-07-31,8232,4036,286179,2
2019-06-18,7837,9485,142533,1
2020-09-24,8114,4692,219362,5
2019-09-17,7424,7827,37028,1
2020-05-15,3190,9592,351401,1
2019-05-03,4444,7614,374939,2
2019-08-05,582,1512,159564,3
2019-08-03,5512,7755,272864,1
2020-02-29,2840,6996,151130,2
2020-06-30,7418,4237,142649,1
2019-07-09,2629,1323,297024,3
2020-04-20,4388,4580,141082,2
2020-01-07,2486,2555,370012,1
2020-09-12,6245,4021,391499,4
2020-05-13,2712,3369,302617,5
2019-07-01,8592,,233553,3
2020-05-14,5136,9802,230679,1
2021-01-11,8547,4351,50762,5
2019-02-18,3219,9520,262742,1
2020-03-17,4367,9355,317680,1
2020-11-05,1673,9585,295792,4
2019-06-06,5612,8601,196583,2
2019-10-18,5598,6517,304074,1
2019-11-13,1039,2457,23882,1
2021-01-30,8145,2528,123359,1
2020-07-19,2839,5835,113753,3
2019-04-30,286,5497,216439,5
2019-01-17,7415,2282,74415,1
2021-01-03,5903,8613,19507,2
2019-11-04,6788,2826,10636,5
2020-09-28,4101,1409,313519,5
2020-12-03,8864,4808,185918,3
2020-11-27,9269,211,385535,5
2020-05-29,2529,9544,87131,3
2020-02-27,1160,6101,250261,2
2020-03-14,8431,6460,19956,4
2020-10-28,6173,8193,67666,2
2020-07-10,1468,2831,298080,4
2020-10-29,9577,8939,25547,5
2020-08-10,9386,9947,331264,5
2019-06-15,3029,968,330955,2
2020-08-08,8451,4766,10984,4
2019-06-16,2194,9996,372598,2
2020-11-27,76,6532,148265,2
2020-05-09,9326,3507,369710,3
2019-08-10,5333,2749,96366,4
2019-03-03,9866,3435,315400,4
2020-07-27,3841,960,149335,5
2020-08-31,3925,8273,314183,4
2020-05-22,7873,49,336832,5
2019-12-10,156,9782,372963,1
2019-06-01,4330,7995,285924,1
2020-07-07,467,2010,114995,5
2020-12-25,4083,2495,5441,2
2020-12-16,2497,9922,105499,4
2020-08-31,1939,2885,264835,4
2020-07-10,3303,7332,107274,4
2019-08-18,7771,1619,188216,5
2020-09-04,8651,8909,115459,5
2021-01-10,3711,6779,372595,1
2020-04-14,7495,5754,71532,2
2019-09-30,2824,7497,260810,3
2021-01-24,9011,4975,91242,1
2019-05-18,7983,5021,139513,2
2020-10-25,4420,3719,174189,3
2020-05-27,4844,8078,367534,1
2019-09-25,4671,9533,130512,4
2020-11-27,1727,3698,198122,2
2020-10-26,7797,6309,106626,3
2019-11-22,6417,9744,11971,4
2020-05-01,9562,4889,101835,4
2019-11-12,278,5650,381004,1
2021-02-03,6244,7330,16868,3
2020-12-20,9271,2852,336177,2
2019-01-13,2511,3930,188864,4
2020-07-06,1456,3739,43979,3
2020-03-03,7539,6438,171720,2
2020-11-13,5416,8037,3632,2
2019-08-08,2318,7767,238640,2
2019-07-21,4156,4104,376955,1
2020-06-26,4809,1328,230571,4
2021-01-14,1677,9548,250277,1
2021-01-14,5902,1155,325948,4
2019-12-21,1840,9695,224209,2
2019-10-22,2169,7100,354270,2
2019-04-18,8012,9191,47843,3
2020-02-13,8617,8556,229257,3
2020-05-24,9934,4743,85048,2
2019-11-27,683,5911,305035,3
2019-03-16,3410,5009,73097,5
2020-01-10,1899,5226,276346,4
2020-05-23,3984,2101,306493,5
2020-11-06,7979,1674,236859,3
2020-11-15,2279,6332,98018,2
2020-05-11,1775,8502,257943,5
2019-01-30,2747,4771,363049,1
2020-04-14,4943,6373,58821,4
2020-12-07,5497,8129,35110,4
2020-05-23,2773,7461,165981,1
2020-06-13,104,4,224081,5
2019-07-26,855,6549,395378,5
2020-10-02,6167,1860,381852,5
2019-05-16,6879,4088,65938,5
2020-10-04,1607,3144,262229,2
2021-01-28,2778,3186,91568,2
2020-05-07,9323,8607,154960,3
2020-06-11,1314,8490,260014,5
2019-01-14,3108,4278,256854,1
2019-06-29,7537,1621,377916,5
2020-10-09,6780,506,259055,3
2020-07-01,8608,5868,262901,3
2020-02-22,4491,3341,211688,5
2019-03-01,1230,4464,298508,2
2021-01-28,4100,46,32777,2
2020-07-15,4081,5409,351521,3
2019-10-09,1246,1508,112252,3
2020-06-04,2010,1014,228484,1
2019-10-10,1746,1395,195561,4
2019-06-26,1406,6745,110330,4
2020-07-02,8961,5310,242147,5
2020-02-21,3177,4527,185128,3
2020-07-24,9292,6275,34859,1
2020-10-11,373,2341,284171,2
2019-12-13,1466,6612,342269,1
2020-10-24,2377,6380,378662,5
2020-11-09,21,5821,11981,5
2020-11-02,1047,7278,95660,4
2020-11-04,2919,4399,25570,3
2020-12-19,1154,9916,204815,2
2020-07-21,3044,1648,365160,2
2019-02-07,2969,5273,133558,3
2019-07-29,7832,2759,159650,1
2019-04-22,7128,2529,113354,2
2020-02-09,2993,6510,134668,3
2019-06-20,1626,6556,365406,1
2019-02-14,7380,4411,380774,1
2020-09-15,1653,5128,394268,3
2019-12-20,1907,4537,294728,2
2019-08-18,7486,1280,156762,4
2019-02-01,425,7407,95754,5
2019-03-29,8458,5046,55805,2
2020-10-14,832,8267,59942,2
2020-12-05,5594,2296,249969,2
2019-05-06,8698,3372,129421,5
2020-09-15,8881,9850,67350,4
2020-01-14,8015,265,23577,5
2020-03-03,6430,4933,239216,2
2020-02-09,9385,,255476,5
2019-11-15,7872,5674,310899,1
2019-12-22,5711,7898,129225,3
2020-04-28,2389,6280,182839,4
2019-06-14,8680,8939,123249,5
2020-12-09,8492,7723,305885,4
2019-05-04,7767,3381,39699,5
2021-01-02,5807,2692,324941,5
2020-01-08,2458,1794,125160,3
2020-10-31,3057,1684,5559,4
2020-10-11,4348,,377911,5
2019-12-23,554,7696,296463,1
2020-01-29,3045,2494,118576,2
2020-01-21,1288,9799,265933,2
2020-01-03,8993,8106,188954,3
2019-06-22,340,7223,58481,5
2019-09-12,8240,9310,61722,1
2019-12-31,5592,224,328156,5
2020-07-07,9098,6760,320045,1
2019-01-21,9629,8272,136510,1
2020-05-28,8902,8059,142123,4
2019-05-20,8134,3445,258679,4
2020-08-03,6215,3034,390166,4
2019-11-01,8402,8686,297442,3
2019-06-03,1026,6560,195739,4
2020-02-23,5373,1297,69830,3
2020-12-04,8456,6743,325294,1
2020-04-09,5131,9056,228503,5
2019-02-24,6014,6423,326236,3
2020-10-17,684,1013,363254,2
2020-10-18,9091,6510,93643,2
2019-06-27,1810,2760,98807,5
2020-12-19,1693,1207,344421,2
2020-12-04,6780,7966,38176,1
2019-03-13,656,6475,340115,5
2020-11-17,8604,9252,252239,5
2020-05-21,6480,,204672,3
2019-11-24,1923,511,187642,3
2019-08-27,340,8914,211026,1
2019-02-09,4275,2237,187704,3
2020-11-19,5367,4367,108589,1
2019-02-01,9317,3104,823,5
2020-12-08,8651,5082,292027,4
2020-07-28,932,6211,62565,4
2019-02-02,9613,2502,48444,3
2020-01-09,8480,9319,256775,3
2019-10-08,169,1797,244631,3
2019-07-24,2585,1361,211280,1
2019-03-12,4111,7280,41233,2
2021-02-04,2219,319,47829,4
2019-10-05,8511,3981,382735,1
2020-08-11,1978,8200,18964,3
2019-11-19,5838,5508,99262,1
2020-11-08,3436,2374,130052,2
2020-07-27,4533,6229,237767,3
2019-06-23,1312,9713,339103,5
2020-11-01,4608,,182200,2
2020-12-07,1012,905,298754,3
2021-01-21,5471,8856,289169,4
2020-10-05,1401,1867,370609,4
2019-12-09,2441,8006,240368,3
2019-06-15,9026,8039,318332,5
2019-03-19,3709,7131,347393,3
2019-12-01,1570,6867,249432,4
2019-06-18,7389,807,112305,1
2019-05-14,1305,2959,235855,4
2019-05-29,9338,5002,375007,2
2020-04-20,1761,6795,189029,1
2019-08-26,4848,1789,44382,2
2020-09-04,5903,1172,315657,2
2019-12-25,3636,9449,92772,2
2020-02-08,623,807,354451,4
2020-03-30,7262,3223,118588,2
2019-03-25,4979,1971,284468,1
2020-10-27,3969,,48725,1
2019-12-02,1219,3998,227680,2
2019-07-29,1993,8840,112575,5
2019-08-05,3326,2570,258667,4
2019-08-25,7675,263,341166,5
2019-01-12,5198,5255,193240,3
2020-07-11,1440,1654,270706,5
2021-01-15,7088,6524,352156,1
2019-05-30,310,1332,335927,5
2019-07-30,2302,6324,114552,4
2020-03-11,463,9433,156317,4
2020-05-12,7389,3736,302137,5
2020-08-21,5956,7407,319746,1
2019-11-18,1617,6667,70223,3
2019-07-15,8295,1440,197001,5
2020-05-05,4443,5061,253250,2
2019-12-20,7420,7871,360965,1
2019-09-21,6948,9518,198785,2
2019-06-07,5718,1834,201552,3
2019-04-26,3633,7821,239634,5
2020-05-15,4589,7492,116552,1
2019-11-11,9017,96,153770,5
2019-07-09,1546,9102,170047,1
2020-06-10,2198,6443,259772,2
2019-07-31,9272,,160907,5
2020-03-02,7996,9130,182540,5
2019-12-23,2765,9398,97496,3
2019-07-07,2987,3275,247136,1
2020-04-06,9006,8648,181971,5
2020-07-16,5279,8237,197510,5
2021-01-03,3878,6294,65383,4
2020-10-07,4381,634,208652,3
2019-01-13,6909,8458,370003,4
2020-06-11,2908,829,7745,3
2020-04-09,1310,3462,198704,3
2019-05-15,9304,4819,86451,2
2019-05-01,6086,7338,45616,3
2020-05-03,8113,4525,385878,1
2019-12-26,2094,9795,254886,1
2020-11-02,8465,5622,397120,3
2020-12-10,963,6296,352827,1
2020-04-23,5719,2281,252390,1
2020-10-15,3432,3525,396930,4
2020-02-09,350,9990,3320,1
2019-02-14,9326,9349,178769,2
2020-01-21,6341,6851,327545,5
2019-10-15,9120,8291,236410,5
2019-07-04,8534,7258,287008,5
2020-11-15,4906,6411,332536,5
2020-04-01,904,7424,279078,5
2021-01-10,8679,5254,377633,2
2020-06-11,9082,1937,13037,2
2019-12-19,9612,218,353176,3
2020-03-17,489,4096,48407,4
