Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty
2019-09-29,1002,5900,816,57654,338535,28,2752.4,5931.75,2019-08-18
2019-08-14,70,26747,780,43889,156077,3,2866.81,9471.24,2020-11-24
2019-01-09,364,47130,8773,64047,181200,88,3081.9,31978.04,2019-03-25
2019-01-19,214,2466,5999,84526,61556,12,3005.7,2991.14,2019-11-09
2020-01-05,107,16049,6433,37043,150199,60,925.83,34362.34,2020-06-28
2019-06-01,353,67203,5346,57512,344601,31,1736.35,38719.05,2020-02-14
2020-01-03,329,1926,8253,30357,12664,51,8972.48,44736.69,2022-01-19
2019-08-21,603,53779,5775,73827,83138,40,7338.57,12441.21,2019-06-21
2019-02-23,924,32714,9632,5124,105162,18,8315.66,31435.39,2021-09-28
2019-04-30,541,12621,3531,39622,325219,52,4376.09,29569.64,2021-03-08
2019-10-03,357,18533,6080,6869,322448,35,576.1,31033.84,2019-10-01
2019-01-14,616,70642,4868,92727,138470,78,3549.98,15589.21,2020-09-03
2019-08-22,32,10797,6384,52917,176640,14,3135.3,42113.42,2020-12-11
2019-07-03,290,22064,4381,17469,360028,77,4535.98,31245.43,2020-10-23
2019-11-06,1048,51074,4459,49954,63557,70,2385.12,18070.37,2020-01-30
2019-06-10,1150,64031,7981,8731,126938,89,9676.94,18781.64,2019-12-17
2019-03-14,67,55878,7076,24734,50093,28,8282.18,44201.02,2020-07-09
2019-11-11,1153,4441,2096,93853,109965,88,683.34,49505.24,2020-12-17
2019-03-10,934,19506,6774,3089,375246,49,9782.63,40198.83,2020-01-29
2019-01-20,892,17444,2991,47982,195788,86,7077.77,36506.28,2021-05-30
2019-01-22,1094,1460,6334,96599,197976,72,4327.61,2880.01,2019-05-05
2019-07-25,266,19003,7952,45863,84420,31,717.13,25106.31,2019-09-28
2019-02-24,268,70143,7726,79037,96724,22,4588.83,21130.71,2021-04-03
2019-09-27,61,44819,9278,53072,377253,93,1853.63,32624.47,2020-06-03
2019-06-24,633,8363,6207,44641,102933,21,9834.78,30025.94,2020-11-08
2019-04-10,821,55727,9948,60776,260566,66,3208.81,28356.39,2021-05-11
2019-05-17,123,51739,4884,61198,359923,20,8310.9,6210.04,2020-05-19
2019-12-02,46,33660,6088,8134,63794,100,7798.67,30059.45,2020-05-02
2019-05-04,115,50803,3426,87153,138737,62,4200.8,7706.85,2019-10-28
2019-07-29,520,48057,2198,82947,321187,78,4860.92,15882.11,2021-06-01
2019-05-21,789,38763,5321,61804,81444,16,6476.4,31855.31,2021-04-25
2019-07-21,704,8363,9872,36925,255310,8,4292.28,43462.85,2021-01-08
2020-01-01,533,44518,1545,6659,186318,76,2022.71,17440.52,2019-05-25
2019-08-05,813,38500,8111,95448,387607,61,5975.66,6065.88,2020-07-27
2019-06-27,35,28516,3661,8727,74090,78,2080.53,33304.77,2020-05-09
2019-08-26,874,22637,9078,1777,348746,91,5626.35,8392.84,2021-03-12
2020-01-06,183,70462,5815,34485,323496,81,5237.54,34361.8,2019-10-22
2019-07-23,446,28966,1725,60343,140408,29,2602.5,6464.16,2020-07-12
2019-12-06,613,59360,9481,44880,32907,80,5218.88,34659.68,2021-03-06
2019-11-13,293,27482,3372,25702,233222,59,1847.35,22326.0,2020-07-11
2019-09-26,1197,36259,727,98313,252320,99,9570.13,37003.01,2020-04-24
2019-01-30,251,42752,3776,38183,349178,54,7705.3,13393.04,2021-05-08
2019-08-20,623,65176,7460,18654,265361,85,1298.09,40050.62,2020-07-29
2019-10-11,1088,66102,7721,80126,22727,90,4564.8,23428.72,2019-09-15
2019-05-14,13,50194,3366,77849,369356,9,211.87,31746.56,2021-07-20
2019-09-08,64,36705,3474,47093,352440,82,7182.96,49030.32,2020-08-14
2019-12-09,109,63081,4063,5806,264637,2,7807.51,3126.93,2020-03-22
2019-08-05,1094,63115,8984,36355,33636,67,7674.55,36046.74,2021-06-09
2020-01-05,731,44470,,7821,87540,,2068.3,16006.12,2019-06-20
2019-04-25,300,24992,6805,86110,104687,24,8025.15,17359.82,2019-08-27
2019-05-17,566,12032,6109,6844,121209,54,4874.01,659.98,2020-05-28
2019-08-30,575,64476,4636,77889,347054,100,1670.22,130.44,2021-07-21
2019-10-02,774,41752,2429,32785,206063,95,984.98,21118.26,2021-10-19
2019-04-04,664,64452,9165,70077,190114,50,2294.17,19273.98,2021-08-17
2019-07-21,702,11279,2673,20083,190584,64,7852.13,43235.84,2021-02-03
