Date,GarantyId,PaymentTypeId,ClientId,ReturnDetailId,ProductId,IsGaranty
2019-12-01,25143,497,995,1501,62560,0
2019-04-02,30288,650,154,852,72669,0
2019-07-22,7615,90,34,2257,34557,1
2019-10-31,25373,1226,311,698,25344,1
2019-11-19,32457,506,67,2702,745,1
2020-01-01,28587,400,971,586,32553,1
2019-04-24,10192,416,12,188,71998,1
2019-09-29,11066,991,655,119,74496,0
2020-01-31,16197,384,984,566,7780,1
2019-11-14,17155,1086,501,347,49103,0
2019-05-13,26696,1070,202,2805,42918,0
2019-02-18,4958,543,972,1457,46478,1
2019-10-12,28740,41,721,1262,44510,1
2019-12-29,18668,534,909,1599,21062,1
2019-10-17,39184,1016,61,900,30767,0
2019-09-22,22128,289,334,184,46414,0
2019-03-25,33081,1297,67,171,43786,1
2019-03-02,28366,34,836,1494,51172,1
2019-05-14,39316,285,890,1481,49865,1
2019-07-14,19114,442,344,1470,1545,1
2019-09-18,39100,1054,686,1142,5416,0
2019-08-11,35192,89,619,859,26795,1
2019-04-30,7619,883,265,2437,11285,0
2019-03-10,7716,653,157,2014,29813,0
2019-02-18,38993,315,168,2386,33318,1
2019-03-21,5857,95,568,1308,74446,1
2020-01-31,33253,273,719,344,72349,0
2019-05-28,18656,1289,421,451,70910,0
2019-05-03,10419,872,860,1607,6140,0
2019-02-24,28897,220,501,2582,25136,1
2019-02-14,25886,1076,747,978,48785,1
2019-08-14,6975,235,874,2792,34062,0
2019-06-11,5137,747,738,2216,29807,0
2019-08-25,6274,821,696,1335,69811,1
2019-09-29,8962,790,910,1707,19864,0
2019-08-19,8514,851,32,1717,25051,1
2019-03-22,30857,429,565,2753,24681,1
2019-03-23,33641,276,949,41,69687,0
2019-09-27,28081,515,523,1310,50177,0
2019-07-30,7487,425,8,1050,44843,1
2019-11-12,39938,478,314,2751,58715,0
2019-12-19,22174,1083,530,2816,19521,0
2019-03-13,35724,714,212,2391,41809,0
2019-04-27,4237,747,615,428,4290,0
2019-10-05,36310,821,657,2241,29469,1
2020-01-01,34137,73,890,2133,21009,1
2019-12-31,30238,329,141,1077,74729,1
2019-10-23,19944,480,993,2912,12403,1
2019-07-17,38816,302,319,1012,44901,1
2019-04-03,1796,1125,805,898,10436,1
2020-01-28,15239,391,904,1029,67523,1
2019-11-29,21303,9,697,1428,7971,0
2019-08-10,26964,861,381,1452,13464,1
2019-11-26,27883,537,366,65,13366,1
2019-07-26,17432,588,791,2869,713,1
2019-02-11,328,364,690,2891,29439,1
2019-02-08,26074,1253,861,579,63066,1
2019-09-06,39924,96,363,1229,52839,1
2019-04-09,27040,316,828,2227,5064,1
2019-10-22,8131,859,734,892,909,0
2019-02-22,22796,477,360,2562,40982,1
2019-08-01,16926,11,699,2338,46450,0
2019-07-19,38092,951,149,1796,68090,0
2019-04-18,14608,1193,403,1740,1645,0
2019-10-03,10310,1240,14,139,5101,1
2019-11-26,16155,315,958,1940,39437,1
2019-07-19,30374,514,602,1886,17595,1
2019-08-26,18682,5,487,1001,14059,0
2019-10-07,1667,78,801,213,39145,0
2019-07-28,23892,48,991,1278,71411,0
2019-08-15,22899,596,27,2384,54550,1
2019-08-21,32008,948,944,1334,60928,1
2019-02-13,9159,875,292,193,7694,1
2019-07-08,28891,707,105,2811,63891,1
2019-02-25,2432,267,392,1407,74343,1
2019-09-20,37669,373,835,2714,13842,0
2019-05-03,25879,847,317,2375,42593,1
2019-05-05,35730,264,894,1719,22313,1
2019-07-27,39077,551,280,835,52428,1
2019-09-04,24978,616,620,2052,38763,1
2019-04-05,33241,869,944,476,10729,0
2020-01-13,26782,556,705,1178,6025,1
2020-01-03,10549,403,82,2888,70348,1
2019-11-27,23877,713,178,2730,6126,1
2019-11-15,34911,969,183,1980,1572,1
2019-04-12,38533,1132,653,2398,66620,1
2019-08-25,18914,595,954,2515,41819,1
2019-09-04,16325,308,51,2720,26243,0
2019-04-16,1964,620,945,1944,60170,0
2019-07-19,3595,780,481,679,38210,1
2019-12-13,23278,1145,567,171,4820,0
2019-10-02,18100,787,831,1222,59734,1
2019-12-05,14486,1074,738,366,43371,0
2019-05-12,39512,669,875,2401,23596,0
2019-10-09,23948,121,109,1602,25802,0
2019-03-07,9530,1105,591,2587,41817,0
2019-11-12,7973,516,971,2964,56603,1
2019-10-12,10014,1228,497,571,13216,0
2019-04-13,39935,95,56,2096,72926,1
2019-02-14,10532,930,535,794,12482,0
2019-06-11,8854,661,727,1753,184,1
2019-05-01,18730,766,999,172,8378,0
2019-02-21,18139,545,911,354,71501,1
2019-03-03,26666,80,654,776,64499,1
2019-03-03,39834,495,741,1859,29541,1
2019-10-21,3771,143,798,1808,48473,1
2020-01-12,26842,299,785,1551,35092,0
2019-12-26,37980,480,297,2273,71269,1
2019-05-14,6624,891,24,1433,69248,1
2019-05-10,26789,415,203,1824,36948,1
2019-04-03,25957,1294,51,891,31655,1
2019-08-02,10255,463,800,784,71931,0
2020-02-05,38129,839,678,2543,21671,0
2019-07-14,38261,614,963,441,13033,0
2019-12-05,31775,873,213,585,26709,0
2019-04-08,8333,1016,781,2157,10615,0
2019-08-18,4200,607,539,1186,4441,0
2020-01-10,21196,121,590,637,64671,0
2019-12-21,20533,1018,914,2012,470,1
2019-08-27,11562,781,362,1276,58039,1
2019-05-06,4764,477,8,2208,5013,1
2019-09-25,15457,837,909,182,71063,1
2019-04-04,10218,1061,366,672,21411,0
2019-09-08,22819,888,275,2692,20630,0
2019-02-23,19804,1297,197,548,8830,1
2020-02-01,25080,346,809,1973,12561,1
2019-07-25,34383,168,570,194,24227,1
2019-05-10,20207,912,856,2860,7099,0
2019-06-27,36740,463,475,483,38331,0
2019-05-19,20865,1176,62,2368,72598,0
2019-10-13,14281,610,135,1843,63671,0
2019-10-27,21152,786,200,378,40689,0
2019-07-10,10226,251,133,659,56250,0
2019-06-16,34216,570,565,258,50667,0
2019-07-22,4199,1298,71,2066,59873,1
2019-07-05,79,88,803,509,21649,1
