Date,GarantyID,PaymentTypeId,ClientId,ReturnDetailID,ProductId,IsGaranty
2019-05-05,7222,1955,8781,7202,265950,1
2019-06-28,13416,3454,8195,1975,329722,0
2019-07-27,15798,4176,3696,8554,93806,1
2019-02-07,12429,4079,1393,3034,342825,1
2019-12-12,15333,132,5484,4329,37993,1
2020-12-03,898,1195,8458,2658,290708,1
2018-11-25,14732,757,7193,6252,117664,0
2019-02-05,5455,2994,8408,9819,152076,1
2018-06-30,8777,90,9132,4775,129741,0
2018-10-27,3846,172,8847,1400,84349,0
2018-04-16,18846,2604,2436,6898,206430,0
2019-02-04,16792,2932,5040,9020,115337,0
2018-05-28,8626,1583,3095,1936,5051,1
2020-10-09,614,4081,2941,5180,274954,0
2018-04-18,11475,208,5030,4539,129247,0
2020-09-10,6908,463,6453,9353,396151,1
2020-01-02,5827,390,2724,2699,301276,1
2020-10-11,6130,3397,3626,3610,390499,0
2018-12-12,14373,2273,1520,2687,141019,1
2018-02-21,19510,3362,5782,5512,29845,1
2018-09-25,2129,612,3613,5689,376219,1
2019-02-08,3715,3667,3165,3426,272602,0
2020-08-22,8559,3845,9126,4595,82803,1
2018-07-13,2089,1309,8795,2409,194181,1
2019-11-25,16646,693,7242,3221,355894,0
2018-07-10,5761,1422,9950,5205,383079,1
2019-03-23,17590,4440,402,8245,224930,1
2018-03-11,17909,1295,7905,3182,228472,1
2019-04-30,2890,894,4126,5417,347730,0
2018-11-09,7080,4629,3752,655,378863,1
2018-09-03,13074,4738,6153,4419,40109,0
2019-05-08,18186,2639,8904,998,182772,1
2020-10-09,13588,4103,7621,3488,49300,0
2020-04-12,14148,1584,2637,2238,357867,0
2020-12-13,16576,2566,7886,3460,316873,0
2020-12-03,1051,455,9174,7187,42624,0
2020-09-24,5009,2190,9524,6431,176599,1
2019-10-01,16980,4876,8563,6361,28367,0
2018-09-19,15134,1958,7290,7176,37081,1
2020-03-08,4452,896,3723,105,229658,1
2020-06-15,15990,3659,6650,536,151756,1
2020-01-11,17551,4440,2702,9615,383200,0
2020-10-06,10971,4682,698,46,108145,0
2020-08-20,1315,582,390,4832,362734,0
2018-08-09,10554,3267,1240,4208,43097,1
2018-11-11,6450,2188,9152,3151,21238,1
2018-02-06,13146,3436,1098,2108,177352,0
2018-03-16,1259,2254,5818,3676,19529,0
2019-08-13,1915,898,1526,1119,21622,1
2018-08-05,6159,1527,2688,1595,332925,1
2019-10-31,17353,1019,1440,2482,374234,1
2020-01-31,18293,2916,5926,6752,151608,1
2019-11-09,4415,2794,2292,6100,171339,1
2020-07-04,3622,4023,5884,7406,18670,0
2019-06-10,19999,330,7212,3275,82076,1
2019-01-30,2061,2948,3792,7919,100562,0
2020-11-20,1878,4823,2691,9934,242891,1
2019-04-22,18962,2415,6331,8921,152002,1
2020-12-08,5827,2518,4135,4088,334701,0
2019-11-05,17348,883,2571,1016,22840,0
2020-05-27,3856,2522,6290,2223,281965,1
2020-08-27,7052,1353,472,5570,162315,0
2020-01-30,1997,2436,8475,349,212761,0
2020-03-12,7541,510,5431,4133,172750,1
2019-04-29,7625,4662,3961,5187,346579,0
2020-05-04,5080,4108,3428,3765,275411,0
2020-06-03,17022,1004,8702,700,395889,1
2019-05-20,10454,2963,1342,8324,396163,1
2020-09-18,1163,2946,4737,9247,201737,0
2018-03-21,474,1848,7225,5245,66768,0
2019-10-06,11899,4300,4512,7994,199562,0
2020-11-10,11911,2530,1243,4429,377128,0
2020-10-24,18669,4080,9548,1091,100071,1
2019-01-17,9494,2238,9503,4451,289862,0
2018-09-12,18610,2988,8719,3397,143851,0
2018-01-21,11596,4534,6747,3108,345132,1
2018-09-15,1953,1326,1754,6625,109031,0
2019-12-31,15313,4203,384,3208,267961,0
2019-04-30,13443,2982,2157,4265,309976,0
2019-05-26,6905,2064,9327,3041,192831,1
2020-02-18,1477,1511,3674,9931,150715,1
2018-06-13,14006,2984,2979,5476,358527,0
2018-06-18,1290,2355,9619,1975,185652,0
2019-04-05,17575,2592,3044,6379,347104,1
2020-12-16,7422,3725,3207,5353,60203,1
2018-11-10,5585,503,1923,653,44816,1
2018-08-20,3995,1274,7170,7517,320436,0
2019-10-11,3181,1906,8219,5860,60432,0
2019-01-12,11880,3099,2586,5233,20716,0
2018-12-03,10558,4322,396,3189,362332,1
2020-05-23,10422,185,9331,1563,169028,1
2019-07-24,4147,4361,9872,6242,355930,1
2019-12-17,11448,612,5467,3475,183654,0
2018-06-29,13628,3002,487,6019,19949,1
2018-02-15,410,876,5900,4142,77779,0
2019-07-08,6526,2572,2627,5132,231836,1
2018-08-24,17470,1850,8210,2699,170836,0
2020-01-10,5616,1249,9430,3029,148194,0
2019-10-13,200,1712,4371,5520,293756,0
2018-06-09,2511,1263,7679,8581,344753,0
2019-12-13,5903,3637,9682,20,105232,0
2018-12-02,12435,4188,3274,9852,164316,0
2019-10-10,10377,2943,3256,3767,132354,0
2020-10-09,3565,4101,2846,2598,148555,1
2018-04-03,3310,3880,4029,9067,389067,0
2020-01-31,16596,3956,3346,2103,363427,1
2020-05-23,15874,3269,7137,4531,389413,1
2019-08-06,18295,4938,7708,4103,237898,0
2018-03-17,4209,1547,7366,6458,240126,1
2020-12-08,19837,4810,7329,8989,357648,0
2020-11-21,532,3823,1213,8456,26334,0
2018-08-03,6230,2476,73,8649,375840,0
2020-05-04,12435,2518,4116,1195,97666,1
2019-10-10,4389,4261,2269,6173,15745,0
2018-04-21,17049,3987,9870,4532,128252,0
2019-01-16,13583,4310,6243,3283,257395,0
2018-11-05,6907,2451,6342,2447,120031,1
2018-03-07,18932,147,5614,5443,218726,0
2018-01-18,3271,2549,7198,8112,351534,0
2018-06-01,5208,2296,8434,4570,79115,1
2019-02-28,19275,974,4306,687,92672,0
2019-05-10,4088,4330,8697,754,361573,0
2019-10-02,14553,3168,127,3793,176960,0
2020-07-25,3681,4910,2718,2942,331621,1
2019-02-18,12187,3702,5089,154,176321,1
2019-11-24,6904,1269,6838,5030,320319,1
2020-04-14,17851,4240,3366,4584,24667,1
2020-11-12,5520,1217,1136,9518,44097,1
2020-06-20,16339,3152,2583,1631,267886,1
2018-03-16,9355,4432,7545,3151,5392,0
2018-01-11,6198,2742,4242,6865,385020,0
2020-11-17,6868,2567,9975,2922,168818,1
2019-04-12,18506,2712,9450,9790,182622,1
2018-07-29,16154,4148,3821,2193,233845,1
2019-10-19,6807,1341,168,8493,131651,0
2019-10-13,12910,1550,1608,8650,381390,1
2020-01-17,14832,3227,2444,4717,200916,0
2019-10-22,558,4529,5911,8603,247965,0
2020-11-14,2653,2445,6,9411,354687,0
2020-02-28,5613,4071,8343,409,103278,1
2019-11-16,7722,222,4265,8232,123752,1
2018-03-12,6343,3377,3324,6926,278100,1
2020-06-05,5597,824,518,1853,182161,1
2020-04-06,10759,2780,4446,5059,375336,1
2020-08-17,9272,1075,2350,7630,375043,0
2019-08-04,10955,2313,3306,2646,283622,1
2019-02-14,19619,4855,6016,3536,391155,1
2019-01-24,259,1483,7257,4598,367331,1
2018-03-10,8167,1641,3753,8341,172395,0
2018-09-19,11361,213,2220,2849,210622,0
2018-07-22,5492,2143,9062,8898,231112,0
2020-03-29,8027,3782,5620,4810,201737,0
2018-09-10,12611,2663,7331,6143,17929,0
2019-03-16,6268,1171,5936,7926,371249,1
2019-04-08,6277,4990,8992,9543,376290,1
2019-10-16,2076,4030,6448,9776,142451,0
2018-04-22,11271,1839,9818,4644,200423,0
2020-10-07,588,2401,8000,9649,257800,1
2020-01-23,12223,437,2582,7285,32175,1
2020-12-24,15551,4674,1973,1248,324783,0
2020-04-17,17010,3964,3442,8730,153810,1
2019-04-28,10325,4957,8140,2898,178423,0
2020-02-20,3257,4272,7736,8853,308327,0
2018-08-29,2827,2619,5702,7580,242326,0
2020-02-15,13536,2712,7053,9054,374391,1
2019-11-02,3764,3100,5609,1313,85494,0
2019-06-23,16943,469,6900,7603,82097,0
2019-09-13,3855,2558,1118,6959,162390,0
2019-03-12,13708,1679,344,9958,97206,0
2019-10-12,11090,2382,3702,8382,355367,1
2020-05-28,8229,654,586,7340,335267,0
2019-08-12,4679,2496,7716,8845,137668,0
2018-10-01,10784,112,5489,919,89285,1
2018-03-09,11202,2443,1367,2793,239412,1
2020-08-17,13702,1072,2160,9542,130068,0
2018-09-12,7517,760,245,9403,88773,1
2019-11-01,14029,1457,6880,8956,186282,1
2018-06-08,12040,814,6484,486,202705,0
2018-08-01,5143,1691,5115,8191,40335,1
