Date,GarantyId,PaymentTypeId,ClientId,ReturnDetailId,ProductId,IsGaranty
2019-05-06,37702,684,6294,1527,2331,1
2020-01-15,7409,673,9291,746,62944,0
2020-01-25,178,1169,10505,573,10772,0
2019-11-10,17478,672,5608,495,32603,1
2019-05-26,33342,814,13966,2461,45470,1
2019-06-21,11461,452,3096,2308,62770,1
2019-10-13,22194,1095,11401,1975,67210,1
2019-03-01,19166,415,12181,2685,6416,0
2019-11-04,15518,1259,9964,421,30258,1
2019-10-08,16528,1201,860,688,47612,0
2019-07-19,9106,1054,462,1285,62909,1
2019-12-26,37878,844,3047,1835,65639,0
2019-12-19,35028,1178,6086,143,13712,0
2020-02-05,25347,678,4110,474,12861,0
2020-01-11,6374,739,4012,2066,20864,0
2019-04-29,3332,968,10808,817,21622,0
2019-03-22,3479,73,13768,567,49565,1
2019-04-05,4743,463,14181,902,72949,1
2019-11-19,39711,843,11685,1866,8299,1
2019-07-06,37477,121,14980,2783,50608,1
2020-01-16,8603,713,2142,979,24340,0
2019-07-09,21035,122,1223,1902,36415,1
2019-07-30,5212,1064,1492,2477,33709,0
2019-08-15,38708,798,4905,1283,70831,1
2020-01-25,8165,1095,12478,2365,30537,0
2019-05-26,16333,737,8201,1606,49920,0
2019-12-05,36024,33,13016,2782,70476,0
2020-01-20,15724,1218,12883,330,19028,1
2019-10-31,26213,120,591,2528,40360,0
2019-08-28,8987,157,8325,2441,8657,0
2019-09-02,26592,192,9723,2171,27597,0
2019-04-04,205,623,11996,63,43344,1
2019-04-15,15838,432,14261,640,72945,1
2020-01-20,3716,1154,216,1623,12138,1
2019-12-06,24483,1212,12719,1299,33429,1
2019-10-07,25043,58,9860,1674,8205,1
2019-05-20,27638,689,12049,1094,13573,0
2019-09-29,27968,917,13659,1453,63396,0
2019-03-28,25870,387,5811,320,2969,1
2019-12-26,7763,550,8379,928,28090,0
2019-06-10,30245,453,2277,2978,52186,1
2019-03-09,572,1180,3229,554,22146,0
2019-11-19,12989,1009,8893,1570,43522,0
2019-11-18,28695,936,2657,1688,7925,0
2019-03-20,4420,342,5373,517,45114,0
2019-05-11,450,1244,14365,1966,63867,0
2019-04-30,37604,145,9004,1042,20792,0
2019-03-10,9540,399,3552,1733,61166,1
2019-12-19,28632,249,6998,859,24020,1
2019-10-26,38893,520,11300,978,43419,0
2019-03-21,14276,71,9227,2909,42010,0
2020-01-04,2871,784,13486,2264,14447,0
2019-10-13,17274,74,6032,1816,15263,0
2019-03-11,20053,580,10585,1804,35674,1
2019-04-29,28332,509,6282,1058,8098,0
2019-10-20,10331,203,3976,580,8665,1
2020-01-19,32986,966,13294,147,24819,0
2019-12-13,37654,66,6719,2878,65271,0
2019-04-18,32171,402,11292,2942,36315,1
2019-04-01,38216,572,1344,1533,16984,0
2020-01-23,2385,641,5483,2796,15981,0
2019-02-16,14740,1191,9029,2885,30851,0
2019-12-19,6526,396,11527,1723,49151,0
2019-08-13,25343,1204,7965,1130,29015,0
2019-02-19,15382,1193,14787,52,25692,0
2020-01-11,26055,1115,439,2701,8347,0
2019-11-14,15399,1066,3334,262,70928,1
2019-11-09,31600,533,131,2385,1970,0
2019-07-24,6926,1289,9434,1557,5024,1
2019-12-21,30413,427,4009,1773,66226,1
2020-01-19,3730,1134,4066,532,47905,1
2019-11-09,23138,1160,8830,1460,53949,1
2019-04-18,29106,875,8818,46,41141,0
2019-03-16,32685,52,8234,266,2671,0
2019-06-04,24712,485,7838,894,38021,1
2019-02-20,34339,1281,682,1304,47246,0
2019-04-08,22434,254,5666,1829,23342,1
2019-09-29,3019,733,10542,2023,36493,0
2019-10-30,13931,236,2391,1748,2160,0
2019-04-05,13295,230,12630,61,21855,0
2019-02-28,33134,1295,14637,2237,16540,1
2019-04-07,33450,1104,2373,1783,59256,1
2019-11-11,21780,74,7816,2155,56451,0
2019-12-23,5617,1050,13287,2824,61942,1
2019-08-06,659,875,2553,1678,58780,0
2019-07-09,36244,896,5354,490,7627,1
2019-02-15,7672,930,2626,1679,38427,1
2019-07-18,18075,387,5199,1803,5583,1
2019-04-28,21648,1164,1414,711,29943,1
2019-04-14,18097,1163,4850,828,23988,1
2019-03-25,13186,829,7671,2554,431,0
2019-03-26,25384,1134,13761,625,6164,0
2019-04-17,20756,549,14500,2978,32405,0
2019-12-10,37284,418,3968,2757,70511,1
2019-10-19,775,373,1885,225,17980,0
2019-04-25,841,275,1520,2180,61315,1
2019-04-03,20095,17,11607,2386,14912,1
2020-01-02,6661,524,10647,2437,28144,1
2019-04-23,5695,287,8964,2696,20898,0
2019-04-29,38066,1087,12862,367,16275,0
2019-10-06,37024,73,6316,1793,33520,1
2019-04-16,21976,387,14333,1727,41615,0
2019-12-09,31031,574,2599,2850,24201,1
2019-08-06,14135,617,5517,1264,52708,1
2019-06-07,16193,419,7673,794,32702,0
2019-10-08,23435,552,6193,2156,74511,1
2019-03-09,16081,280,8723,595,71087,1
2019-12-25,25270,1242,3018,1564,29228,1
2019-09-19,36268,197,611,1335,22043,0
2019-10-01,33373,903,4266,2678,16801,0
2019-04-18,33994,337,7399,981,49319,1
2019-08-12,29528,115,2328,1269,58442,0
2019-06-15,21924,423,9828,364,29528,1
2019-10-28,6882,490,12211,1364,42354,0
2019-05-21,11683,415,8132,2875,12945,0
2019-03-30,32041,229,7651,1346,72522,0
2019-08-29,23067,753,11737,1153,27164,1
2019-09-04,26480,1132,8003,176,64858,1
2019-10-27,7897,74,10725,618,68709,0
2019-04-19,28090,1286,6917,2539,24712,1
2019-02-08,28541,493,3755,1248,23667,1
2019-09-13,18937,647,8851,1175,45574,1
2019-05-28,24579,229,4104,2830,56710,0
2019-04-18,32779,30,6037,1598,17755,1
2019-11-03,18312,203,11383,751,22273,0
2019-04-05,26426,335,10621,2852,42241,1
2019-09-22,27655,123,3084,2104,48302,1
2019-10-26,11235,1256,10037,2830,14058,1
2019-12-10,36838,690,9124,227,8565,0
2019-04-05,39579,507,3941,2185,55218,0
2019-06-21,1584,300,3461,130,29363,0
2019-12-26,14708,949,4430,2894,25747,0
2019-08-15,6301,1061,5855,1583,54871,0
2019-03-10,31439,1170,159,205,47290,1
2019-07-15,19570,226,994,2717,33963,0
2019-09-12,22947,432,8786,1368,53467,0
2019-03-27,16412,822,1607,531,43207,0
2019-07-14,2196,853,5683,2652,28464,1
2019-02-19,4069,184,5984,771,452,0
2019-09-05,8693,32,2027,2242,74200,0
2020-01-16,36929,1018,2024,483,54513,1
2019-05-19,38784,34,12646,2412,35847,1
2020-01-08,30872,412,310,1851,37285,0
2019-07-19,19377,903,11666,1792,32451,1
2019-11-19,7357,689,2425,1985,31437,1
2019-03-26,14036,555,7307,2742,5531,0
2019-06-23,10219,809,14802,1196,10001,0
2019-07-10,6180,1198,13739,2086,1829,1
2019-03-02,19394,671,9751,429,65752,0
2020-01-20,19794,913,5305,590,181,0
2019-06-29,12087,83,8711,70,19592,1
2019-07-01,23205,778,14978,2004,22173,1
2019-06-06,27345,649,14907,1237,6150,1
2019-09-03,7778,150,9246,2294,19216,0
2019-04-14,38941,497,11286,1953,19301,0
2019-06-21,33322,322,13268,260,66688,0
2019-07-23,15727,840,11408,1460,47477,0
2019-09-17,18417,297,13992,1245,7165,0
2019-04-01,34373,445,7655,1384,66796,0
2019-12-29,26981,681,930,344,33162,1
2019-09-22,13823,854,4277,2780,6926,1
2019-10-12,13091,596,7779,1797,28940,0
2019-05-15,18280,195,462,450,18587,0
2019-05-04,37509,896,361,186,8355,1
2019-10-31,8370,72,7090,656,44558,0
2020-01-03,4190,586,9037,2473,10992,1
2019-11-27,5049,1205,11236,2386,51944,1
2020-01-16,39434,551,7794,1232,66099,1
2019-05-29,24259,1156,8207,2331,61525,0
2019-12-16,20932,357,6709,2110,43516,0
2019-06-25,26376,496,11428,1849,35681,1
2019-03-10,211,626,2906,2802,71613,1
2019-06-20,35511,1214,13181,2916,26759,1
2019-11-09,14407,704,13072,2992,4669,0
2020-01-25,24099,59,1265,1815,18039,1
2020-01-11,37312,153,8866,854,25128,0
2019-06-08,8731,850,713,618,2032,1
2019-07-09,21132,1169,12441,654,62395,0
2019-11-23,38453,222,3424,1004,55077,0
2019-07-03,25170,584,10750,507,22096,0
2019-02-11,26854,571,13670,977,44529,0
2019-10-30,33645,658,1596,832,67592,0
2019-06-21,37058,421,4106,1531,53389,0
2019-03-14,25807,922,12327,644,11438,0
2019-10-26,34250,85,10752,375,3111,0
2019-12-31,36693,727,4392,736,47064,0
2019-11-29,8215,497,1769,2431,36324,1
2019-02-13,6599,565,14158,1332,53914,1
2019-08-23,37951,1009,9267,2748,17931,0
2019-09-07,12901,364,4134,755,54551,0
2019-02-14,6031,381,12512,703,35060,0
2019-12-15,30222,818,6105,450,71546,1
2019-03-08,31221,615,9375,2697,65398,0
2019-03-04,8983,1046,6008,2277,71265,0
2020-01-18,641,1016,8361,1839,3110,0
2020-01-24,37410,1042,9951,658,32508,1
2019-10-10,18095,960,6136,808,25954,0
2019-07-14,25521,888,5231,1715,23075,1
2019-05-23,5338,405,7845,2793,12165,0
2019-10-23,16788,149,675,1498,61699,0
2020-01-13,32565,14,3670,1650,50465,1
2019-08-13,13653,1274,1257,2786,73170,1
2019-09-05,18100,383,5767,2839,43748,1
2019-11-23,22957,286,5366,1664,61018,1
2019-08-30,36065,751,1045,2339,72749,0
2020-01-21,13692,1061,13975,1958,40749,1
2020-01-30,26856,1234,7059,371,38531,0
2019-07-25,24418,12,5101,138,30247,1
2019-11-26,12871,265,8171,465,59345,0
2019-06-22,28452,1052,12147,188,72459,0
2019-10-23,31879,216,4168,872,74751,0
2019-04-24,9557,1055,12637,2241,36755,1
2019-04-17,27689,996,4492,1286,23351,1
2019-02-26,13721,85,2175,2628,69989,1
2019-03-19,20725,517,12597,419,14421,1
2019-05-30,10897,536,12697,1596,17841,1
2019-09-28,12652,91,2649,1506,47655,1
2019-11-23,14933,473,5296,586,25152,0
2019-03-31,8077,1281,10581,1157,57633,1
2019-06-01,6395,620,12323,1137,34259,1
2019-04-19,2609,1074,4326,1826,43798,0
2019-12-12,25438,1148,1153,2560,35043,1
2019-09-02,37862,634,10886,2725,40207,1
2019-06-08,25709,378,7788,2076,38305,0
2019-12-28,12612,177,5560,993,63425,0
2019-07-15,31661,612,11027,2335,53060,1
2019-08-22,29052,994,5302,2007,60079,0
2019-10-16,28823,1256,9187,2732,15798,0
2019-05-29,20185,957,12779,1129,23655,1
2019-05-24,658,1183,7785,2,65519,1
2019-12-04,16627,91,6763,1577,41599,0
2019-02-23,22240,365,1587,273,56954,0
2019-06-26,38581,736,14196,285,9841,1
2019-10-20,2403,1047,50,2043,30878,1
2020-01-30,25989,1185,1091,2375,44888,0
2019-03-04,1293,855,14189,1839,7324,1
2019-11-19,36108,410,7977,154,29936,0
2019-07-09,4103,1019,7849,1949,40674,1
2019-08-04,25379,756,14060,1979,19924,0
