Date,GarantyID,PaymentTypeId,ClientId,ReturnDetailID,ProductId,IsGaranty
2019-08-04,13826,1016,5237,4356,145656,1
2018-09-19,10066,529,7550,4940,228853,0
2020-07-05,12158,3404,7462,8601,332797,1
2020-05-09,17745,1431,394,4266,276890,1
2018-11-10,2554,429,1492,3919,64820,1
2019-03-11,1781,4872,4916,7361,183410,1
2020-08-13,15857,4738,1350,4331,155853,0
2020-08-06,16594,3106,55,6842,249373,0
2019-10-12,16820,2554,661,1822,93794,0
2020-10-09,13432,2879,4020,7689,214483,0
2018-09-08,19403,332,654,1502,68816,1
2018-02-20,1443,3256,6947,2097,207036,0
2020-05-17,8476,1997,2280,1314,27704,0
2020-12-30,307,4034,699,508,381689,0
2018-09-30,3553,3897,4148,9356,4696,1
2018-11-25,16785,4271,3735,8405,342330,1
2019-02-14,14942,1759,6070,3380,141369,0
2020-01-18,16451,2811,8723,6286,123411,0
2020-02-08,13805,1946,6038,9821,77606,1
2019-07-15,11111,1933,2739,1307,330919,0
2019-03-24,7736,3626,6535,8497,254238,1
2020-10-22,2354,950,1717,7445,110382,1
2018-02-22,885,804,2956,46,91952,1
2020-09-09,11568,1192,4904,3594,205935,1
2018-09-23,4066,2393,4464,9406,278918,0
2018-08-21,17403,71,3485,5701,224573,0
2020-05-24,15900,2340,7099,5109,237979,1
2018-03-28,4532,2801,9325,5490,369249,0
2020-11-09,12363,2752,2809,111,292872,0
2019-05-13,10080,191,7990,5403,210746,0
2019-01-10,11388,3886,6047,8301,391104,1
2020-04-10,16608,1247,7910,4826,284107,1
2020-11-28,7972,1863,3908,3863,122222,0
2020-04-17,17108,3576,9391,1715,97219,0
2019-01-24,5667,1594,1855,892,224269,0
2020-10-31,6838,4259,9799,2878,173262,0
2019-08-02,2478,1700,2042,563,334491,0
2020-04-28,15504,1420,5755,1183,163686,0
2018-07-22,19614,1251,5215,4103,284364,1
2020-11-25,17385,80,2569,7328,217524,0
2018-12-12,16591,2207,1749,5810,205873,1
2018-10-31,9724,2661,4283,7426,76914,1
2018-02-19,4778,2820,4532,2707,207612,0
2019-07-25,10768,131,973,981,10326,0
2020-12-14,17137,4456,9520,9620,132534,1
2020-11-25,9996,4829,7777,7483,326127,1
2018-10-14,18443,17,772,4342,211715,0
2020-11-13,19141,2959,7548,2329,96244,0
2019-04-16,1624,1964,5266,8438,244756,1
2019-05-06,5528,4667,3559,7913,50060,1
2020-05-17,18598,152,9363,9600,27159,0
2019-08-30,13110,4452,7961,3389,30198,0
2019-01-31,5099,551,8910,9974,123051,1
2018-05-06,804,4253,4668,8914,86892,1
2018-06-10,378,4054,8389,4523,191107,0
2018-05-18,185,2480,4086,2141,124531,1
2020-04-12,652,1612,9183,9596,273071,1
2018-10-11,15611,2726,8918,3211,336987,1
2019-09-10,19950,3015,2094,2640,296196,0
2020-11-15,5498,2004,2403,5272,166804,0
2020-08-11,4319,4561,8417,2092,134280,0
2019-06-20,7919,1958,5916,3780,88877,0
2019-08-19,3213,3719,1061,7951,226995,0
2019-04-23,17016,868,5667,8468,163712,0
2020-03-25,2714,1130,9459,1742,25800,0
2020-02-29,4359,2457,746,992,365418,1
2020-02-17,2178,3477,1099,2035,320681,1
2020-03-24,1131,3571,8153,3470,188146,0
2019-05-22,3910,3237,595,6626,374909,0
2020-05-15,1624,1959,304,9853,261677,0
2020-11-01,18862,2688,5944,436,101741,0
2020-09-29,19804,2092,2265,5022,218553,1
2018-07-28,17356,3359,5553,8110,396583,0
2018-05-14,6710,844,2431,3034,304035,0
2020-01-08,16550,4598,2884,6988,273371,0
2020-03-27,19749,255,226,9311,75203,1
2018-03-11,883,2893,534,6404,293976,0
2018-06-21,1436,2715,9144,4998,310859,1
2020-09-20,10910,3999,3130,1513,105352,1
2019-08-12,805,1636,3466,1117,365257,1
2019-04-18,1361,2936,8850,9962,12366,0
2020-01-02,14582,1766,1483,9795,338987,1
2018-01-04,4947,815,4003,7415,69607,1
2019-04-03,1311,1025,6448,6627,246413,0
2018-11-07,3515,3578,2075,9133,185567,0
2020-09-07,9758,4160,1592,332,310371,1
2020-02-07,6497,3666,4424,1686,142594,0
2018-08-21,12872,2611,1905,4111,104680,0
2019-03-19,15291,2787,9856,5490,168201,1
2020-09-28,2248,3836,7121,3815,271279,0
2019-09-28,3852,3261,3862,895,108777,0
2019-09-13,883,4078,6992,3066,233953,0
2020-02-03,8239,2551,4852,1128,336069,1
2019-12-12,3434,1934,3093,9835,297827,1
2018-10-23,7035,2877,9943,3996,210177,1
2019-07-06,11259,4687,4158,5816,388909,1
2020-03-27,3792,400,5696,9176,5042,1
2019-04-06,5839,504,8903,6244,231618,1
