SupplierID,ProductID,Date,LocationID,SumPrice,AmountProducts
14363,230034,2022-12-13,3880,12143,30
6938,335936,2023-03-29,14043,38263,79
13228,9730,2019-12-16,1307,80605,32
10031,201483,2024-05-08,2325,83676,21
13664,320532,2021-05-11,3133,90563,79
11775,392424,2024-05-11,4053,76761,38
9594,348134,2024-05-08,13155,35692,26
3435,230499,2020-04-27,4203,45707,39
3065,310750,2023-06-29,13790,17201,60
3133,100534,2023-04-01,3579,72232,35
13484,101728,2022-08-15,2709,23544,36
13456,366564,2019-02-12,999,50641,67
1945,191637,2024-03-05,5197,82931,33
4556,31206,2023-09-30,10630,28726,47
3565,286539,2019-10-28,3564,32710,39
3409,366516,2024-07-24,7017,5832,37
2204,48055,2021-03-19,3053,52169,15
5264,112620,2023-07-03,4211,39547,49
9812,184639,2021-07-12,8013,61652,85
2567,397637,2019-11-17,7827,91122,26
1295,44765,2024-06-11,1002,73003,64
5695,362317,2019-12-24,9641,28430,30
1255,146120,2020-02-23,7470,64671,35
3872,156240,2024-05-27,7125,47016,75
4871,209474,2023-10-04,14755,37653,38
6236,343338,2023-06-09,8705,90153,44
8806,364605,2019-06-24,8894,40271,92
11083,263420,2024-03-26,10011,44442,6
8743,280074,2020-09-09,7842,86006,20
4226,170153,2023-01-03,9051,66935,9
13602,329950,2020-12-15,7353,10245,53
731,76857,2019-07-24,14689,61553,55
6479,164432,2021-11-14,2833,59913,76
2979,356409,2023-11-08,6220,56513,9
2864,398070,2021-04-12,9549,76745,88
6795,256398,2020-08-23,11465,95430,48
14139,120136,2023-01-29,6024,76451,59
10486,65940,2019-06-27,13934,46491,37
555,35553,2021-08-23,9945,35367,97
14929,45815,2021-10-15,8681,80623,1
12855,168923,2020-07-01,4184,99516,80
482,145176,2023-12-10,12579,67502,75
2321,394757,2021-04-03,9371,55177,25
1996,191464,2023-10-04,8420,94491,10
3316,267199,2021-02-17,1932,10774,13
27,55045,2024-11-16,13001,89022,36
6670,137823,2021-02-20,11605,49472,44
9506,170223,2023-12-20,5073,47865,46
5953,153223,2020-06-17,2022,59486,12
13866,145891,2024-07-19,3897,88267,91
9700,342963,2019-12-27,8164,61057,37
12926,26692,2024-12-07,5762,97186,19
14665,115048,2024-11-05,12172,83963,42
7165,133744,2021-02-12,9170,55046,75
4885,88127,2024-04-22,13298,70130,89
13389,361891,2024-07-03,10899,94684,15
4006,358133,2021-04-03,11334,14989,62
14465,164098,2023-04-16,13220,8240,29
10833,122335,2019-11-28,709,15961,6
418,59720,2022-09-05,9122,24671,85
3442,42533,2024-09-29,8817,14962,91
11473,105183,2020-08-01,11434,52435,22
7580,153362,2021-11-17,5844,53666,91
10753,306559,2024-06-22,1663,8203,90
14985,297899,2024-08-05,1039,94778,66
9589,329018,2021-10-26,633,44224,44
14674,362398,2022-04-26,1059,99768,1
10765,16921,2020-02-19,578,58833,4
899,282042,2019-04-01,9186,13163,26
3424,916,2021-03-15,872,71407,85
8568,277026,2023-08-19,3718,71028,48
11858,329401,2020-11-16,5278,7282,36
10971,398283,2020-09-02,7698,89560,38
2724,204276,2023-01-22,13523,28019,47
4971,394540,2021-09-05,2174,60676,24
1098,389459,2021-09-09,2838,90684,83
4816,332149,2024-02-18,13667,31034,72
5539,396709,2024-09-15,7751,70143,19
1166,195552,2020-07-15,9164,52938,12
5844,18305,2023-01-30,3985,32253,28
842,113750,2022-07-06,11334,88023,49
3946,358916,2019-06-26,10932,46736,49
11195,175554,2021-11-09,12292,32020,64
14389,97248,2020-04-14,7026,47018,16
14937,64896,2020-12-13,1445,28165,51
13894,150082,2021-03-23,12008,55325,38
13667,214124,2019-07-09,3178,77367,43
11261,170811,2019-04-21,4734,44623,41
13530,230874,2023-05-16,2355,8047,24
3837,22380,2022-01-17,11444,76362,77
