SupplierID,ProductID,DateKey,LocationID,SumPrice,AmountProducts
1346,73573,3/15/2020,12042,49104,74
8155,16192,12/29/2024,3306,37774,43
226,22844,8/15/2021,1122,76294,73
8189,17190,1/28/2020,5198,60830,78
9269,54096,3/22/2024,4957,22323,14
330,39391,6/14/2020,2195,4479,21
8280,628,1/1/2020,7468,44146,65
7138,2893,11/22/2022,10296,14947,4
6914,30575,10/4/2024,8896,63758,43
592,32699,2/28/2019,13167,35888,13
2483,4889,2/17/2019,905,13251,51
5526,16221,1/2/2022,10217,41528,45
6650,41943,4/7/2024,3749,37201,28
8960,23120,9/7/2024,5657,45515,89
1474,73645,11/13/2020,9971,41665,46
4075,74151,8/25/2021,11056,64359,78
5623,66910,8/8/2020,11521,69050,11
5230,28438,6/9/2020,9911,18781,70
1111,54855,5/19/2023,582,42916,14
9406,24800,7/28/2019,14899,73062,29
3805,56444,7/5/2022,6853,77767,82
3257,28880,4/16/2020,4292,18530,30
9914,40003,12/22/2021,2229,40386,63
5808,22847,12/17/2020,8017,33918,18
5838,28842,1/16/2021,11089,32572,64
5556,46586,7/27/2022,12901,87151,93
9078,15706,5/26/2020,6377,52807,12
9826,9347,2/21/2019,10278,14295,90
9383,56981,1/21/2019,6411,67291,60
1095,63864,2/24/2021,799,5569,7
4650,56446,3/19/2023,9866,33998,88
8271,62668,3/1/2023,13612,62345,94
3257,67420,4/28/2024,13428,27913,79
2208,56381,5/28/2019,9994,9823,4
2250,61287,8/24/2019,4847,9575,48
2548,16094,12/1/2020,9960,85066,47
2383,39250,1/11/2023,2000,17594,70
8803,50645,11/27/2024,11337,53014,72
5485,65884,11/12/2024,4203,74276,11
2782,5704,6/2/2023,2704,68204,72
2606,33313,4/6/2024,12341,77534,29
2115,14713,10/3/2019,11888,29845,16
1875,10605,3/21/2020,423,76587,11
5448,61450,7/12/2023,13378,73493,30
2263,22391,12/3/2024,11899,29384,41
4842,21987,3/6/2023,6872,72663,62
2691,15820,10/28/2021,1186,10821,82
4341,33626,11/21/2022,3506,6077,51
7682,11972,1/11/2021,3771,65511,57
754,20376,12/6/2020,2775,9778,22
3632,8467,3/8/2020,6686,79133,99
2105,26026,12/20/2020,11390,69048,9
3992,61961,1/28/2021,9222,94502,42
2124,21556,6/23/2024,2243,68650,6
3129,15829,1/28/2019,11994,25762,46
8518,16704,5/10/2021,5059,96157,99
336,28802,9/9/2024,10266,37707,85
6963,61619,1/3/2024,12934,45756,93
3648,74721,10/18/2021,9335,67088,85
8510,44763,11/12/2021,5814,53301,4
7989,38415,6/13/2022,10645,7191,74
2239,38374,8/12/2020,10612,66919,99
6214,63275,1/11/2024,13699,49472,77
7248,45610,11/16/2020,1058,4535,45
2889,50014,11/3/2019,12522,71439,94
7490,74303,2/16/2023,9679,59611,97
4301,31605,6/29/2021,2769,27280,18
2835,32477,6/15/2019,8102,4625,15
5598,57120,8/4/2024,640,26396,6
1931,58378,2/6/2019,11403,19109,86
6654,70819,10/5/2021,2722,82683,70
4987,65065,2/5/2020,2276,14941,35
7327,3401,9/9/2021,10177,11044,51
2009,58070,8/25/2021,13375,27145,93
2288,12040,10/27/2019,5700,79266,5
5554,19286,10/29/2020,3892,52294,57
8982,22161,5/12/2021,6274,82494,64
2459,53384,1/20/2019,10023,49379,94
8660,40383,9/4/2021,5749,54673,72
5164,32125,6/22/2024,2200,98374,35
4845,10327,10/11/2020,2895,39290,86
5311,63896,12/20/2022,11530,40478,22
1307,24124,11/27/2020,9324,92990,16
4313,36139,7/17/2024,11178,43253,28
3791,69809,7/25/2022,9360,75370,10
5031,4142,3/8/2019,13663,49091,58
9024,30666,3/22/2023,2022,47612,70
3147,2406,5/26/2022,12041,35845,26
5348,66971,6/7/2022,6278,60877,7
2049,19324,10/4/2023,1306,89624,28
4151,55803,4/22/2022,9548,27740,20
8717,16379,3/26/2024,12242,15625,6
1423,58281,11/21/2024,14265,33214,29
7417,61355,4/14/2022,1974,41419,93
9023,5395,6/15/2020,10687,41576,2
2467,70004,4/25/2020,5087,97262,53
9637,21123,8/25/2022,5593,40870,50
2862,69419,9/29/2019,12798,74543,90
1414,16432,3/18/2023,4285,27084,6
7720,17239,3/20/2021,1505,77035,60
8449,47068,6/28/2021,13466,51098,86
957,1731,8/4/2024,5590,28879,88
9071,40422,9/18/2024,13238,21916,81
3305,39860,11/3/2023,2613,11380,27
4202,7884,12/20/2024,13378,11695,74
5822,71840,5/13/2021,13949,80603,39
8701,52714,11/20/2022,9238,73262,40
1213,23997,9/4/2024,14612,90161,55
11,61450,7/18/2023,10159,85253,65
1886,15835,5/20/2022,7578,55770,28
8845,63687,5/18/2020,1618,60815,81
1698,15467,1/26/2020,12413,80202,35
8321,64657,8/19/2021,5013,26528,66
9036,37982,10/23/2022,13456,18971,21
6671,32315,3/17/2024,7495,81709,78
2920,38327,7/2/2022,6173,96293,76
6179,61516,8/2/2022,10236,95201,14
4440,53410,4/2/2023,13829,35081,65
5977,62957,6/14/2023,13275,10014,49
5156,405,8/28/2020,949,29200,44
4048,15815,11/21/2022,12726,76170,59
308,35470,10/26/2020,9343,36550,25
3176,21437,9/8/2019,13928,8880,55
7354,52621,3/26/2024,5445,68314,70
2322,24579,12/19/2020,2500,47890,81
4407,9558,7/17/2020,1992,56135,97
5070,73122,3/27/2024,13710,82831,31
5871,44228,6/26/2022,7469,53322,96
1823,69939,12/14/2023,1539,88835,41
3056,6701,4/21/2022,214,60544,83
4035,49589,2/27/2024,13912,86655,1
7386,6643,5/2/2019,10147,99645,14
8320,31797,12/10/2023,3004,10561,89
3155,21897,12/23/2020,14372,15893,11
5404,24660,4/4/2019,11220,62371,95
5251,60790,6/4/2023,3040,7488,61
5105,13363,6/23/2020,5342,14410,100
844,1716,12/22/2024,1160,96469,73
839,69308,11/16/2024,11882,76508,58
1205,31055,6/2/2020,11961,5469,19
674,63887,8/29/2019,11880,88587,47
6078,12099,3/21/2019,6955,92522,59
4824,59132,1/6/2020,2656,44861,9
5297,49395,11/8/2023,8878,74095,5
1725,28981,9/22/2022,8941,31932,34
2124,7393,2/14/2023,2353,20410,2
322,27426,10/17/2024,6963,50138,66
2486,69068,12/5/2024,10449,78511,72
9010,3889,11/16/2024,12503,29174,50
5989,35165,5/16/2021,10814,70784,9
1091,18197,9/12/2021,12431,17269,58
7837,8127,4/7/2022,13699,90391,9
5098,7667,7/18/2021,9151,20777,56
7247,52018,10/17/2024,703,32549,80
7400,67421,5/30/2019,9997,6009,34
5483,5177,6/14/2024,5542,33842,88
2813,74901,7/5/2022,9991,82142,31
1321,27243,10/29/2019,2900,38522,79
6314,49884,8/14/2023,1909,15038,32
4296,17167,4/23/2024,3070,80156,64
9748,54119,9/24/2019,4816,54865,48
7462,69215,1/6/2024,13733,76893,23
7228,33840,4/10/2022,5121,50820,21
5112,21284,9/18/2024,13078,81133,56
3873,36121,4/29/2019,547,93780,57
137,48455,2/7/2022,4930,64186,36
5775,40474,9/16/2019,13482,16731,89
721,6857,8/30/2024,11881,5391,5
7061,51039,6/23/2020,10014,45148,62
2062,74446,3/23/2022,5219,91451,2
4960,65630,1/31/2024,4701,97637,2
7871,35198,12/12/2019,2713,32877,39
2681,22602,6/1/2024,5808,42016,55
5604,63918,2/26/2024,9870,99806,21
1936,45782,5/1/2021,5030,52399,81
143,33437,11/13/2024,12633,18506,29
4788,8695,4/1/2021,9386,32928,63
8488,26210,10/24/2020,6960,24957,87
9795,13175,8/26/2021,8876,22121,29
7224,68341,8/20/2019,5313,72659,29
8576,53131,10/10/2022,3337,25772,100
3661,28644,7/1/2024,2817,81897,100
4744,14885,7/18/2019,8119,86264,52
5084,25045,12/7/2021,2474,71630,20
404,51201,4/1/2019,12461,38070,44
6322,3115,5/24/2020,14188,50061,49
1276,70862,10/23/2019,569,71879,39
5751,776,6/25/2024,7256,96017,41
3667,88,11/4/2022,4007,65597,28
8014,7967,11/9/2021,735,57477,25
8980,3818,1/30/2022,11024,76781,90
9778,42728,6/13/2024,13473,27302,67
9310,33202,2/7/2019,8346,21581,62
4278,27522,7/9/2023,3838,52615,42
6315,61563,4/16/2024,1801,85958,27
3138,17282,4/8/2022,5015,87478,29
1147,59943,6/30/2020,6916,92394,96
2426,57581,2/28/2019,7583,67371,92
3466,68897,12/17/2022,10072,74680,44
