GarantyID,NameGaranty,Duration,PriceGaranty,DescriptionGaranty
1,Manufacturer's special warranty,125,70.63,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
2,Additional reseller's warranty,365,98.09,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
3,Standard Manufacturer's,365,84.89,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
4,Standard Manufacturer's,365,86.62,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
5,Additional reseller's warranty,548,92.78,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
6,Standard Manufacturer's,93,70.33,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
7,Standard Manufacturer's,125,97.43,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
8,Manufacturer's special warranty,548,91.31,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
9,Standard Manufacturer's,548,67.09,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
10,Manufacturer's special warranty,365,95.53,augue aliquam erat volutpat in congue etiam justo etiam pretium
11,Full manufacturer's warranty,548,95.98,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
12,Manufacturer's special warranty,125,91.76,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
13,Manufacturer's special warranty,548,95.30,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
14,Additional reseller's warranty,183,79.47,nunc proin at turpis a pede posuere nonummy integer non velit
15,Full manufacturer's warranty,125,86.83,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
16,Additional reseller's warranty,365,64.02,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
17,Additional reseller's warranty,365,60.95,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
18,Standard Manufacturer's,183,79.80,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum
19,Full manufacturer's warranty,93,70.77,risus semper porta volutpat quam pede lobortis ligula sit amet
20,Additional reseller's warranty,365,96.39,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna
21,Standard Manufacturer's,183,92.90,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
22,Manufacturer's special warranty,125,97.41,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
23,Full manufacturer's warranty,183,60.90,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
24,Standard Manufacturer's,548,64.95,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
25,Manufacturer's special warranty,548,82.36,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
26,Additional reseller's warranty,548,70.08,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
27,Manufacturer's special warranty,125,63.01,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
28,Additional reseller's warranty,93,74.94,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
29,Standard Manufacturer's,365,66.34,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
30,Standard Manufacturer's,548,94.91,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
31,Standard Manufacturer's,125,82.85,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
32,Additional reseller's warranty,125,71.62,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
33,Standard Manufacturer's,548,77.55,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
34,Manufacturer's special warranty,93,61.51,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
35,Full manufacturer's warranty,365,99.99,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
36,Full manufacturer's warranty,125,86.54,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
37,Full manufacturer's warranty,365,87.04,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
38,Standard Manufacturer's,365,77.35,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
39,Additional reseller's warranty,183,89.14,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
40,Manufacturer's special warranty,125,94.58,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
41,Additional reseller's warranty,548,91.39,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
42,Standard Manufacturer's,125,68.32,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
43,Additional reseller's warranty,365,92.86,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
44,Manufacturer's special warranty,183,90.36,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
45,Full manufacturer's warranty,125,66.15,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in
46,Additional reseller's warranty,93,96.44,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus
47,Standard Manufacturer's,548,77.50,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
48,Manufacturer's special warranty,365,99.38,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
49,Additional reseller's warranty,183,72.13,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue
50,Additional reseller's warranty,365,60.82,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
51,Standard Manufacturer's,365,69.04,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
52,Additional reseller's warranty,548,75.35,in felis donec semper sapien a libero nam dui proin
53,Full manufacturer's warranty,125,78.50,ac lobortis vel dapibus at diam nam tristique tortor eu pede
54,Standard Manufacturer's,183,99.72,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
55,Full manufacturer's warranty,365,60.62,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
56,Additional reseller's warranty,548,78.25,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
57,Standard Manufacturer's,93,82.81,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
58,Full manufacturer's warranty,125,80.54,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis
59,Manufacturer's special warranty,548,64.23,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
60,Standard Manufacturer's,548,76.04,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
61,Standard Manufacturer's,93,73.52,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
62,Manufacturer's special warranty,365,67.57,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
63,Manufacturer's special warranty,125,98.73,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
64,Standard Manufacturer's,548,87.78,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
65,Additional reseller's warranty,125,63.59,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
66,Standard Manufacturer's,183,99.04,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
67,Additional reseller's warranty,548,85.16,aliquet massa id lobortis convallis tortor risus dapibus augue vel
68,Additional reseller's warranty,125,82.89,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
69,Additional reseller's warranty,365,82.51,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
70,Manufacturer's special warranty,125,99.05,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
71,Additional reseller's warranty,183,64.86,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
72,Full manufacturer's warranty,548,79.62,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
73,Standard Manufacturer's,365,97.42,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
74,Standard Manufacturer's,183,61.41,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
75,Standard Manufacturer's,183,64.08,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
76,Full manufacturer's warranty,183,68.29,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
77,Standard Manufacturer's,548,78.88,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
78,Manufacturer's special warranty,93,78.34,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
79,Full manufacturer's warranty,365,65.18,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
80,Full manufacturer's warranty,365,93.87,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
81,Additional reseller's warranty,365,70.00,at velit eu est congue elementum in hac habitasse platea dictumst morbi
82,Standard Manufacturer's,93,83.42,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
83,Full manufacturer's warranty,183,96.18,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
84,Additional reseller's warranty,548,62.93,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
85,Manufacturer's special warranty,125,80.97,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
86,Additional reseller's warranty,365,63.30,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
87,Manufacturer's special warranty,93,74.16,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
88,Additional reseller's warranty,125,72.09,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
89,Additional reseller's warranty,548,74.10,elit proin risus praesent lectus vestibulum quam sapien varius ut
90,Standard Manufacturer's,93,65.65,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
91,Additional reseller's warranty,183,75.41,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
92,Standard Manufacturer's,365,68.19,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
93,Full manufacturer's warranty,93,85.62,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
94,Manufacturer's special warranty,183,60.41,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
95,Additional reseller's warranty,183,89.20,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
96,Full manufacturer's warranty,183,67.75,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
97,Standard Manufacturer's,548,83.16,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
98,Manufacturer's special warranty,93,73.41,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla
99,Full manufacturer's warranty,183,79.18,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
100,Standard Manufacturer's,93,64.08,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
101,Standard Manufacturer's,365,61.30,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
102,Standard Manufacturer's,365,74.83,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
103,Additional reseller's warranty,548,66.85,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
104,Full manufacturer's warranty,183,63.08,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
105,Full manufacturer's warranty,365,76.03,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
106,Additional reseller's warranty,365,77.66,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
107,Standard Manufacturer's,125,81.48,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
108,Manufacturer's special warranty,183,88.01,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
109,Manufacturer's special warranty,125,94.97,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
110,Manufacturer's special warranty,183,69.47,sapien non mi integer ac neque duis bibendum morbi non quam
111,Standard Manufacturer's,93,73.93,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
112,Standard Manufacturer's,93,68.82,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
113,Standard Manufacturer's,548,81.94,accumsan felis ut at dolor quis odio consequat varius integer ac leo
114,Additional reseller's warranty,548,80.33,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
115,Standard Manufacturer's,125,69.42,nulla dapibus dolor vel est donec odio justo sollicitudin ut
116,Standard Manufacturer's,93,60.50,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
