GarantyID,NameGaranty,Duration,PriceGaranty,DescriptionGaranty
1,Additional reseller's warranty,125,85.16,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu
2,Additional reseller's warranty,365,91.15,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
3,Standard Manufacturer's,93,68.53,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla
4,Full manufacturer's warranty,93,85.72,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
5,Standard Manufacturer's,365,94.04,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
6,Additional reseller's warranty,125,94.24,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
7,Full manufacturer's warranty,125,61.83,turpis a pede posuere nonummy integer non velit donec diam neque
8,Standard Manufacturer's,93,95.10,justo aliquam quis turpis eget elit sodales scelerisque mauris sit
9,Standard Manufacturer's,93,86.36,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
10,Additional reseller's warranty,183,64.83,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
11,Additional reseller's warranty,365,81.00,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
12,Additional reseller's warranty,548,98.84,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
13,Manufacturer's special warranty,93,86.21,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
14,Full manufacturer's warranty,125,79.75,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
15,Additional reseller's warranty,365,72.98,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
16,Manufacturer's special warranty,548,66.84,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
17,Standard Manufacturer's,365,68.39,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
18,Manufacturer's special warranty,548,91.59,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in
19,Manufacturer's special warranty,365,83.62,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
20,Standard Manufacturer's,93,97.39,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
21,Additional reseller's warranty,548,88.10,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
22,Additional reseller's warranty,125,73.48,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
23,Manufacturer's special warranty,93,94.61,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
24,Standard Manufacturer's,548,88.06,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
25,Standard Manufacturer's,365,86.94,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
26,Additional reseller's warranty,365,69.78,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
27,Manufacturer's special warranty,365,68.23,libero ut massa volutpat convallis morbi odio odio elementum eu
28,Full manufacturer's warranty,548,66.63,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
29,Additional reseller's warranty,365,61.74,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
30,Manufacturer's special warranty,365,94.25,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
31,Standard Manufacturer's,365,86.25,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
32,Standard Manufacturer's,548,68.38,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
33,Additional reseller's warranty,125,77.38,augue vestibulum ante ipsum primis in faucibus orci luctus et
34,Standard Manufacturer's,93,76.60,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
