GarantyID,NameGaranty,Duration,PriceGaranty,DescriptionGaranty
4001,Additional reseller's warranty,365,69.5,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
4002,Full manufacturer's warranty,183,77.4,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
4003,Additional reseller's warranty,365,70.11,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
4004,Manufacturer's special warranty,125,63.03,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum
4005,Standard Manufacturer's,93,68.71,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
4006,Standard Manufacturer's,93,89.61,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
4007,Full manufacturer's warranty,365,94.42,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
4008,Additional reseller's warranty,93,95.28,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in
4009,Additional reseller's warranty,125,78.17,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
4010,Standard Manufacturer's,93,74.26,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
4011,Additional reseller's warranty,93,80.79,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
4012,Manufacturer's special warranty,125,62.12,nunc commodo placerat praesent blandit nam nulla integer pede justo
4013,Full manufacturer's warranty,125,76.96,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
4014,Additional reseller's warranty,125,90.16,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
4015,Additional reseller's warranty,93,88.64,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
4016,Additional reseller's warranty,548,71.98,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
4017,Additional reseller's warranty,183,77.11,et commodo vulputate justo in blandit ultrices enim lorem ipsum
4018,Additional reseller's warranty,365,74.86,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
4019,Full manufacturer's warranty,93,86.58,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
4020,Manufacturer's special warranty,125,69.19,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
4021,Full manufacturer's warranty,93,69.49,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
4022,Standard Manufacturer's,125,64.33,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
4023,Full manufacturer's warranty,365,67.33,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
4024,Manufacturer's special warranty,93,89.64,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
