GarantyID,NameGaranty,Duration,PriceGaranty,DescriptionGaranty
1001,Full manufacturer's warranty,93,67.35,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
1002,Manufacturer's special warranty,183,61.74,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
1003,Manufacturer's special warranty,93,86.96,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
1004,Full manufacturer's warranty,365,96.59,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
1005,Full manufacturer's warranty,93,89.89,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
1006,Full manufacturer's warranty,548,98.24,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
1007,Additional reseller's warranty,93,80.36,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
1008,Standard Manufacturer's,125,97.81,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
1009,Additional reseller's warranty,93,92.83,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
1010,Standard Manufacturer's,125,74.62,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis
1011,Additional reseller's warranty,93,66.62,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
1012,Manufacturer's special warranty,183,73.11,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
1013,Additional reseller's warranty,183,92.64,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
1014,Additional reseller's warranty,183,99.79,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
1015,Full manufacturer's warranty,548,83,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
1016,Additional reseller's warranty,125,77.84,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
1017,Additional reseller's warranty,183,97.36,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl
1018,Additional reseller's warranty,548,65.5,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
1019,Full manufacturer's warranty,548,87.94,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
1020,Full manufacturer's warranty,183,74.36,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
1021,Standard Manufacturer's,183,85.89,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
1022,Full manufacturer's warranty,365,94.72,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
1023,Full manufacturer's warranty,365,98.98,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
1024,Full manufacturer's warranty,548,61.94,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
1025,Full manufacturer's warranty,183,62.14,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
1026,Additional reseller's warranty,183,70.22,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
1027,Additional reseller's warranty,183,64.28,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
1028,Full manufacturer's warranty,548,93.98,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
1029,Full manufacturer's warranty,125,64.75,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
1030,Standard Manufacturer's,365,74.88,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
1031,Full manufacturer's warranty,365,79.8,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
1032,Standard Manufacturer's,93,99.6,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
1033,Standard Manufacturer's,548,93.63,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec
1034,Standard Manufacturer's,548,63.89,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
