LocationID,Country,Region,City,Adress,PostNumber,DeliveryService
1,United States,North Carolina,Gastonia,9300 Mariners Cove Center,28055,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis
2,United States,Texas,Houston,07936 Lillian Alley,77212,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
3,United States,California,Santa Monica,64 Cottonwood Avenue,90410,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede
4,United States,Pennsylvania,Reading,1 Continental Court,19605,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam
5,United States,New Mexico,Santa Fe,15 Fisk Parkway,87505,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
6,United States,Texas,Dallas,5106 Sloan Court,75246,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
7,United States,Tennessee,Knoxville,89 Mcguire Point,37924,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
8,United States,Michigan,Muskegon,5 Crest Line Road,49444,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
9,United States,Alaska,Juneau,8776 Redwing Crossing,99812,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
10,United States,Florida,Tallahassee,7 Erie Way,32399,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec
11,United States,Georgia,Augusta,3 Boyd Park,30911,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
12,United States,California,Salinas,6082 American Plaza,93907,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
13,United States,Georgia,Columbus,6569 Lotheville Alley,31998,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis
14,United States,Wisconsin,Madison,002 Hanover Parkway,53726,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
15,United States,Florida,Pensacola,8 Spaight Park,32526,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
16,United States,Texas,El Paso,8371 Springview Alley,88525,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at
17,United States,Washington,Tacoma,8 Iowa Pass,98411,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
18,United States,Texas,Dallas,18644 Fremont Hill,75205,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
19,United States,Virginia,Arlington,3632 Messerschmidt Trail,22225,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
20,United States,Massachusetts,Worcester,63046 Garrison Parkway,01654,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
21,United States,Michigan,Detroit,841 Sunnyside Avenue,48217,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
22,United States,Alabama,Birmingham,3 Butterfield Park,35231,quis odio consequat varius integer ac leo pellentesque ultrices mattis
23,United States,Texas,Irving,17886 Magdeline Circle,75062,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
24,United States,Connecticut,Stamford,9790 Stuart Avenue,06922,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
25,United States,California,Los Angeles,7 Stuart Plaza,90087,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
26,United States,Indiana,Fort Wayne,4 Golf Point,46805,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
