LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;United States;America/Chicago;Wichita;63 Mockingbird Way;84979;Howe, Collins and Friesen
2;China;Asia/Chongqing;Liujiage;1 Northfield Pass;90390;Hermiston, Champlin and Zboncak
3;Mongolia;Asia/Ulaanbaatar;Dzüyl;55361 Upham Crossing;97566;Emard, Goyette and Bartoletti
4;Portugal;Europe/Lisbon;Quiaios;75179 Valley Edge Drive;92656;Ziemann and Sons
5;Ukraine;Europe/Zaporozhye;Klenovyy;6 Lukken Center;50056;Barrows, Haag and Brown
6;Peru;America/Lima;Chapimarca;68086 Nobel Junction;88535;O'Kon Inc
7;Venezuela;America/Caracas;Aguasay;8 Forest Dale Road;22128;Beer LLC
8;Brazil;America/Sao_Paulo;Muriaé;286 Twin Pines Center;92370;Lindgren-Wisoky
9;Czech Republic;Europe/Prague;Klatovy;0267 Katie Court;89173;Fisher LLC
10;Indonesia;Asia/Jakarta;Sukasenang;3383 Anniversary Hill;21261;Cruickshank and Sons
11;China;Asia/Chongqing;Yunping;731 Fairview Way;36535;Barrows-Glover
12;Cyprus;Asia/Nicosia;Perivólia;69 Claremont Drive;06307;Stamm-Hackett
13;Argentina;America/Argentina/Salta;Pellegrini;9 Lien Trail;57984;McGlynn LLC
14;Sweden;Europe/Helsinki;Kalix;3549 Fisk Pass;47716;Marquardt, Stokes and Feil
15;Philippines;Asia/Manila;Umingan;7027 Ludington Junction;25304;Little, Mosciski and MacGyver
16;Austria;Europe/Ljubljana;Großklein;361 Eagan Center;21101;Hane-McClure
17;Portugal;Europe/Lisbon;Castedo;13 Northfield Junction;88154;Lang, Padberg and Cremin
18;China;Asia/Shanghai;Xichang;24110 Canary Place;34390;Heathcote-Schinner
19;Thailand;Asia/Bangkok;Phatthana Nikhom;1 Stang Lane;39911;Hilpert and Sons
20;Pakistan;Asia/Karachi;Daultāla;318 International Hill;36602;Cruickshank-Adams
21;Poland;Europe/Warsaw;Żernica;0 Hintze Center;13931;Johnson and Sons
22;Russia;Europe/Moscow;Priupskiy;41 American Circle;40338;Emmerich and Sons
23;Zimbabwe;Africa/Harare;Masvingo;22 Westport Parkway;46494;Conn-Wyman
24;China;Asia/Shanghai;Huilong;1903 Aberg Avenue;37629;Kshlerin, Ledner and Bosco
25;China;Asia/Shanghai;Lincheng;945 Nelson Alley;70691;Denesik, Gleichner and Ryan
26;Palestinian Territory;Asia/Hebron;Za‘tarah;3660 New Castle Park;99109;Kuhn-Hodkiewicz
27;Mongolia;Asia/Ulaanbaatar;Talshand;9 Nobel Plaza;98901;Feeney LLC
28;Botswana;Africa/Gaborone;Ghanzi;8738 Lakewood Gardens Hill;46064;Corwin Group
29;Russia;Asia/Omsk;Barnaul;39049 Surrey Road;53331;Stoltenberg-Kulas
