LocationID,Country,Region,City,Adress,PostNumber,DeliveryService
1,United States,New York,New York City,9 Lighthouse Bay Center,10275,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
2,United States,Illinois,Schaumburg,296 Crownhardt Junction,60193,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
3,United States,Utah,Salt Lake City,9828 Lake View Court,84199,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
4,United States,Ohio,Cincinnati,8683 Talmadge Point,45213,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
5,United States,Missouri,Kansas City,3 Eagle Crest Way,64199,urna pretium nisl ut volutpat sapien arcu sed augue aliquam
6,United States,Texas,Fort Worth,10 Mosinee Pass,76129,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
7,United States,Arkansas,Little Rock,99 Thompson Point,72215,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
8,United States,Kansas,Kansas City,4 Lindbergh Terrace,66112,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
9,United States,California,Van Nuys,39 Vidon Hill,91411,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
10,United States,Pennsylvania,Wilkes Barre,1860 Westport Crossing,18768,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
11,United States,California,Alhambra,734 Beilfuss Park,91841,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
12,United States,Iowa,Cedar Rapids,33096 Redwing Crossing,52405,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
13,United States,Mississippi,Jackson,25 Mosinee Alley,39282,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
14,United States,California,Fresno,66298 Delaware Point,93704,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
15,United States,Maryland,Baltimore,05 Lerdahl Lane,21239,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
16,United States,California,Oakland,2416 Elgar Crossing,94660,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
17,United States,California,Inglewood,5750 Dwight Trail,90398,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
18,United States,New York,New York City,2200 Springview Road,10019,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
19,United States,Kentucky,Louisville,307 Lindbergh Street,40215,vel enim sit amet nunc viverra dapibus nulla suscipit ligula
20,United States,Georgia,Augusta,2 Gateway Pass,30905,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
21,United States,Iowa,Des Moines,942 Elka Point,50330,tincidunt lacus at velit vivamus vel nulla eget eros elementum
22,United States,California,Pasadena,201 Esker Way,91109,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
23,United States,Arizona,Tucson,0168 Jana Place,85743,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
24,United States,Georgia,Atlanta,6 Arapahoe Point,30368,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
25,United States,Texas,Dallas,2125 Warbler Center,75205,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
26,United States,New York,New Hyde Park,315 Basil Avenue,11044,convallis eget eleifend luctus ultricies eu nibh quisque id justo
27,United States,Alabama,Huntsville,5246 Sunbrook Lane,35815,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
28,United States,California,San Diego,74 Lyons Junction,92160,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
29,United States,Wisconsin,Madison,19 Lotheville Parkway,53705,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
30,United States,California,San Jose,93934 Harper Street,95133,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
31,United States,Missouri,Kansas City,18 Scoville Hill,64187,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
32,United States,Alabama,Montgomery,56 Lawn Street,36119,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
