LocationID,Country,Region,City,Adress,PostNumber,DeliveryService
1,United States,Arizona,Mesa,3 Morning Junction,85210,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
2,United States,Missouri,Kansas City,0 Dottie Terrace,64109,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
3,United States,Florida,Delray Beach,17 Jana Center,33448,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
4,United States,Connecticut,Hartford,6968 Jay Lane,06140,ut erat curabitur gravida nisi at nibh in hac habitasse
5,United States,Arizona,Peoria,092 Hovde Drive,85383,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
6,United States,Texas,Spring,256 Gina Street,77388,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
7,United States,Illinois,Chicago,085 Hanover Crossing,60686,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
8,United States,Texas,Humble,587 Banding Road,77346,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
9,United States,New York,New York City,54335 Rigney Plaza,10039,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
10,United States,District of Columbia,Washington,025 Kipling Pass,20005,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
11,United States,Texas,Austin,461 Golden Leaf Avenue,78783,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
12,United States,New York,Bronx,2713 Talmadge Way,10474,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
13,United States,Indiana,Terre Haute,2630 Summit Place,47805,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
14,United States,New York,New York City,387 Southridge Way,10105,integer non velit donec diam neque vestibulum eget vulputate ut
15,United States,New Jersey,Paterson,135 Duke Point,07522,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
16,United States,Florida,Miami,425 Summer Ridge Terrace,33196,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
17,United States,Pennsylvania,Wilkes Barre,6273 Pine View Street,18768,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
