LocationID;Country;Region;City;Adress;PostNumber;DeliveryService
1;SE;Europe/Stockholm;Sävedalen;10 Riverside Road;28898;D'Amore-Baumbach
2;GR;Europe/Athens;Deskáti;1202 Nelson Drive;57991;Jacobi, Sauer and Williamson
3;CN;Asia/Chongqing;Piaocao;9 Saint Paul Court;74464;Hilll, Quitzon and Runolfsdottir
4;PL;Europe/Warsaw;Smyków;35421 Washington Parkway;65028;Gottlieb, Morar and DuBuque
5;TH;Asia/Bangkok;Saba Yoi;9 Hansons Terrace;15807;Breitenberg-Jerde
6;ID;Asia/Makassar;Sasa;0 Emmet Park;39018;Hilll Group
7;ID;Asia/Jakarta;Gunungbatu;6 Elmside Lane;38817;Rohan, Williamson and McGlynn
8;CN;Asia/Shanghai;Chengnan;0 Merry Alley;1936;Ritchie-Osinski
9;RU;Asia/Yekaterinburg;Nizhniy Tagil;9 Monument Avenue;13754;Harris-Hessel
10;CN;Asia/Shanghai;Shangyuan;64319 Sunbrook Alley;50655;Kris Inc
11;RU;Asia/Yekaterinburg;Shirokaya Rechka;47 Memorial Road;28349;Jones, Zboncak and Murphy
12;FR;Europe/Paris;Orange;32 Mesta Crossing;88853;Collier and Sons
13;PE;America/Lima;Las Yaras;87462 Orin Road;22423;Block, Breitenberg and Beier
14;ID;Asia/Jakarta;Dalamdesa Kalapadua;1496 Autumn Leaf Drive;44072;Stehr-Bogan
15;KP;Asia/Pyongyang;Hoeryŏng;3 Schmedeman Lane;47106;Purdy, Schinner and Kunze
16;MG;Indian/Antananarivo;Amboasary;5801 Raven Plaza;38395;Schimmel, Hahn and Bartell
17;RU;Asia/Ulaanbaatar;Naushki;7 Dwight Alley;21259;Walter, Hickle and Doyle
18;CN;Asia/Shanghai;Songnan;2139 Claremont Park;14701;Terry LLC
19;HR;Europe/Zagreb;Gorjani;7032 Saint Paul Place;22281;Shanahan, Nicolas and Grady
20;CL;America/Santiago;Bulnes;1 Hallows Hill;39612;Paucek-Cartwright
21;RU;Asia/Kamchatka;Atlasovo;3506 Cottonwood Terrace;79261;Thiel Inc
22;CO;America/Bogota;Santuario;027 Blaine Park;71751;Boehm-Kunze
23;CN;Asia/Shanghai;Yunxi;8340 Hintze Hill;98985;Schmeler, Robel and Botsford
24;CA;America/Vancouver;Houston;98173 Crownhardt Park;8358;Koch, Harber and Davis
25;PH;Asia/Manila;Pontevedra;161 Southridge Pass;31543;Ward, Corwin and Hills
26;PH;Asia/Manila;Namboongan;3 Almo Crossing;37777;Lakin and Sons
27;PT;Europe/Lisbon;Odivelas;1 Stoughton Parkway;42713;Frami LLC
28;PL;Europe/Warsaw;Januszkowice;5788 Parkside Street;36992;Bechtelar, Weimann and Green
29;CN;Asia/Shanghai;Shantoudian;2561 Mandrake Pass;11081;Champlin Group
30;PH;Asia/Manila;Tabug;23 Longview Center;24409;Hayes and Sons
31;ID;Asia/Jakarta;Krajan Satu;57 Prairie Rose Place;15094;Corkery, Murray and Hintz
32;MY;Asia/Kuala_Lumpur;Melaka;3898 Spenser Center;84090;Greenholt Inc
