LocationID;Country;Region;City;Adress;PostalNumber;DeliveryService
1;Bahamas;America/Nassau;Andros Town;69 Walton Park;60215;Grady-Zulauf
2;Sweden;Europe/Stockholm;Södra Sandby;42 Harper Road;47601;Auer, Wilderman and Hettinger
3;Russia;Europe/Moscow;Suvorovskaya;58350 Aberg Road;77213;Fritsch, Ratke and Funk
4;Netherlands;Europe/Amsterdam;Apeldoorn;9843 Thackeray Court;15359;Klein LLC
5;China;Asia/Harbin;Yujiawu;24312 Havey Hill;9572;Koss Group
6;China;Asia/Chongqing;Jiwei;308 Forest Run Parkway;84144;Runte, Ryan and Kirlin
7;Russia;Europe/Moscow;Yalkhoy-Mokhk;3490 Glendale Pass;75770;Pacocha, Schaefer and Sauer
8;Spain;Europe/Madrid;Getafe;9 Shasta Hill;60514;Williamson-Howell
9;Philippines;Asia/Manila;Calapan;1 Warbler Alley;7311;Homenick-Keeling
10;Indonesia;Asia/Makassar;Muting;0504 Golden Leaf Street;60319;Heathcote LLC
11;Palestinian Territory;Asia/Hebron;Baytīn;9839 Dunning Lane;37439;Gerhold Group
12;Indonesia;Asia/Makassar;Kabir;2 Walton Center;44425;Armstrong and Sons
13;Ireland;Europe/Dublin;Kilkenny;85095 Crowley Road;16093;Pfannerstill and Sons
14;Indonesia;Asia/Jakarta;Sukaharja;8322 Annamark Drive;68441;Emmerich-Mertz
15;Poland;Europe/Warsaw;Brwinów;840 Pierstorff Park;39588;Schoen, Kuvalis and Runolfsson
16;Brazil;America/Sao_Paulo;Pedreira;972 Dawn Drive;99791;Baumbach-White
17;United States;America/New_York;Alexandria;78718 Rowland Road;92756;Wisoky and Sons
18;China;Asia/Chongqing;Zhaigang;33 Lake View Alley;13183;Leannon-Dibbert
19;Indonesia;Asia/Jakarta;Kebonsari;18296 5th Plaza;27007;Harvey, Treutel and Stokes
20;Indonesia;Asia/Jakarta;Bantardawa;84016 Macpherson Place;18119;Gleason-Cole
21;Indonesia;Asia/Makassar;Busalangga;600 Rusk Park;4690;Weber, Fahey and Morar
22;Macedonia;Europe/Skopje;Kisela Voda;12704 Granby Terrace;62594;Welch, Adams and Block
23;Philippines;Asia/Manila;Buracan;4 Oak Valley Drive;68433;Koss-Berge
24;Russia;Europe/Volgograd;Sokolovyy;58 Village Parkway;69589;Dibbert-Sauer
25;Nicaragua;America/Managua;El Almendro;37960 Loftsgordon Avenue;43888;Spinka Inc
26;Portugal;Europe/Lisbon;Vilela;95 Schiller Hill;90590;Parisian-Glover
27;Tunisia;Africa/Tunis;Jendouba;4393 Carioca Circle;50847;O'Reilly-Prohaska
28;Thailand;Asia/Bangkok;Bang Mun Nak;1 Washington Alley;1510;Russel-Reinger
29;Russia;Asia/Harbin;Zabaykal’sk;19582 Transport Terrace;36878;Hettinger-Greenholt
30;Indonesia;Asia/Makassar;Sembalunbumbung;5 Parkside Circle;84332;Boehm-Kuhlman
31;Cameroon;Africa/Douala;Kumbo;436 Stone Corner Trail;113;Kiehn, Gusikowski and Welch
32;Philippines;Asia/Manila;Kapatagan;667 Golden Leaf Trail;63577;Schroeder-Schiller
33;China;Asia/Chongqing;Xiema;14326 Pond Plaza;57156;Hettinger, Hirthe and Green
34;Thailand;Asia/Bangkok;Sakon Nakhon;107 Bay Hill;2177;Collins-Stokes
35;China;Asia/Chongqing;Mao’er;29886 Sycamore Park;1113;Hammes LLC
36;Estonia;Europe/Tallinn;Puhja;8242 Becker Junction;44356;Raynor Inc
37;Japan;Asia/Tokyo;Ninomiya;2 Katie Drive;26120;Herman, Robel and Wolf
38;Gabon;Africa/Libreville;Lékoni;239 Del Mar Hill;15257;Pacocha, Reinger and Frami
39;New Caledonia;Pacific/Noumea;Pouébo;2 Dahle Junction;5597;Stanton Inc
40;Ukraine;Europe/Kiev;Olyshivka;4 Continental Parkway;62712;Moen, Moore and Beatty
41;Brazil;America/Sao_Paulo;São José do Rio Pardo;6 Butterfield Place;33517;Ullrich-Buckridge
42;South Africa;Africa/Johannesburg;Heidelberg;2 Vera Crossing;14190;Smith-Dach
43;Russia;Europe/Moscow;Businovo;2350 Bowman Point;3443;Pfannerstill, Kris and Gleason
44;Philippines;Asia/Manila;Baon;44 Main Crossing;15743;Rice and Sons
45;Kenya;Africa/Nairobi;Embu;94 Stephen Drive;43519;Beahan-Wisozk
46;Nicaragua;America/Managua;La Paz Centro;7218 Arizona Avenue;3563;Beahan-Boyer
47;China;Asia/Shanghai;Huxiaoqiao;23 3rd Park;25165;King-Funk
48;Slovenia;Europe/Rome;Kobarid;25264 Mandrake Pass;33366;Conn Inc
49;Philippines;Asia/Manila;San Manuel;97 Gerald Junction;69846;Konopelski LLC
50;Albania;Europe/Tirane;Rubik;7 Mandrake Avenue;71343;Von-Kassulke
51;Macedonia;Europe/Skopje;Debar;2430 Mccormick Lane;7265;Schuster, Pfannerstill and Roob
52;Brazil;America/Fortaleza;Valença do Piauí;5 Tomscot Point;83182;Thompson, Armstrong and Kerluke
53;China;Asia/Urumqi;Jinlong;3 Ilene Lane;81051;Herzog-Abbott
54;Bolivia;America/La_Paz;San Francisco;828 Mockingbird Parkway;66619;Gutmann-McKenzie
55;Ukraine;Europe/Kiev;Rokytne;6187 Autumn Leaf Plaza;44890;Tromp-Barrows
56;Brazil;America/Fortaleza;Cabedelo;2793 Shopko Drive;86487;Considine, Douglas and Rowe
57;Kenya;Africa/Nairobi;Lodwar;7497 Fair Oaks Pass;9315;Upton-Grimes
58;Russia;Asia/Yakutsk;Magan;191 Tomscot Pass;99067;Gulgowski-Rowe
59;Argentina;America/Argentina/Salta;Macachín;46558 Gateway Trail;27802;Connelly, Hammes and Lindgren
60;China;Asia/Shanghai;Jingyang;2 Arizona Center;53922;Reilly-Gulgowski
61;Chile;America/Santiago;Talcahuano;439 Carioca Crossing;805;Bode LLC
62;Benin;Africa/Porto-Novo;Abomey-Calavi;729 Little Fleur Place;53027;Tillman, Dickinson and Dare
63;Ukraine;Europe/Uzhgorod;Lopatyn;9 American Road;92885;Friesen-Gleichner
64;Palestinian Territory;Asia/Gaza;Al Fukhkhārī;95854 Surrey Lane;62449;Graham-Klein
65;Russia;Asia/Novosibirsk;Kozhevnikovo;130 Longview Avenue;89352;Stanton-Swaniawski
66;Vietnam;Asia/Ho_Chi_Minh;Đồi Ngô;7095 Sugar Center;92528;Bode Group
67;Brazil;America/Sao_Paulo;Padre Bernardo;225 Messerschmidt Junction;29496;Blick LLC
68;France;Europe/Paris;Argentan;68394 Katie Junction;97812;Grady, MacGyver and Sauer
69;Venezuela;America/Caracas;Ciudad Bolívar;2 Cascade Park;53104;Ferry Inc
70;Poland;Europe/Warsaw;Mrozy;034 Golf Course Place;47786;Lakin Inc
71;Paraguay;America/Sao_Paulo;Colonia Catuete;3180 Luster Pass;42759;Zemlak-Weber
72;Indonesia;Asia/Jakarta;Kotanopan;4277 Commercial Pass;81436;Cummings-Bruen
73;Norway;Europe/Oslo;Oslo;7 Pearson Center;48866;Grant, Rath and Bailey
74;China;Asia/Shanghai;Meixi;15 Lighthouse Bay Way;73241;Lynch-Purdy
75;Nigeria;Africa/Lagos;Geidam;375 Hayes Crossing;554;Hayes, Treutel and Jerde
76;Gambia;Africa/Banjul;Karantaba;16 Scofield Terrace;58766;Dicki-King
77;Philippines;Asia/Manila;Ramain;20991 Loftsgordon Park;18255;Hoppe, Rippin and Hintz
78;Japan;Asia/Tokyo;Sunagawa;2895 Crescent Oaks Center;18634;Cartwright-Metz
79;Cameroon;Africa/Douala;Djohong;5828 Summit Plaza;8427;Kling, Erdman and Murphy
80;Indonesia;Asia/Jakarta;Medan;1195 Oakridge Trail;83221;Rice-Hettinger
81;Japan;Asia/Tokyo;Shibukawa;9054 Alpine Trail;78673;Olson Inc
82;China;Asia/Chongqing;Xinjiezi;22709 Forest Run Pass;63293;Walker and Sons
83;Uzbekistan;Asia/Tashkent;Angren;216 Vermont Drive;20256;Hodkiewicz-Little
84;France;Europe/Paris;Morangis;72 Emmet Point;76276;Witting, Spinka and Howell
85;Indonesia;Asia/Jakarta;Karangtengah Lor;435 Northview Avenue;8834;Reichel-Reichel
86;Russia;Europe/Moscow;Ryazan’;97 Corscot Park;17497;DuBuque LLC
87;China;Asia/Chongqing;Changliu;80458 Grasskamp Road;73649;Denesik and Sons
88;Haiti;America/Port-au-Prince;Quartier Morin;706 Blaine Court;87172;Hintz-Grimes
89;Colombia;America/Bogota;Villamaría;157 Hollow Ridge Circle;35000;West, Lesch and Effertz
90;Indonesia;Asia/Jakarta;Karamat;8 Linden Way;89266;Lang, Hodkiewicz and Jakubowski
91;Portugal;Europe/Lisbon;Freixo de Numão;645 Pond Park;5904;Nicolas-Bergnaum
92;Russia;Europe/Moscow;Strelka;098 Beilfuss Point;26517;Reilly Inc
93;Philippines;Asia/Manila;Santa Cruz;9 Melrose Pass;45921;Homenick-Berge
94;Russia;Europe/Moscow;Marevo;6 Melvin Pass;47828;Lang-Kohler
95;Georgia;Asia/Tbilisi;Agara;6752 Briar Crest Center;92672;Nitzsche, Ortiz and Johnson
96;Portugal;Europe/Lisbon;Ferreiros;67169 Paget Alley;21414;Medhurst, Wilkinson and Haley
97;China;Asia/Shanghai;Jiangguanchi;47678 Forster Court;53834;Gleichner-Harber
98;Brazil;America/Sao_Paulo;Lages;4047 Clyde Gallagher Pass;41725;Collier-Zemlak
99;Brazil;America/Campo_Grande;Paranaíba;8 Darwin Pass;90261;Boehm-Monahan
100;Paraguay;America/Asuncion;Colonia Mauricio José Troche;862 Lien Road;73129;Runolfsdottir, Orn and Champlin
101;Indonesia;Asia/Jakarta;Baranti;3 Vidon Crossing;14288;Watsica-Barrows
102;Yemen;Asia/Aden;Al Miftāḩ;14584 Commercial Drive;38250;Kozey and Sons
103;Kuwait;Asia/Kuwait;Al Aḩmadī;40 Oneill Alley;3965;Hamill-Franecki
104;Tanzania;Africa/Dar_es_Salaam;Mlangali;08 Loomis Terrace;78811;Fay-Goodwin
105;China;Asia/Shanghai;Zhangdian;98898 Hansons Pass;5624;O'Kon, Jenkins and Dickens
106;Poland;Europe/Warsaw;Prostki;5 West Place;51202;Jacobs-Corwin
107;Indonesia;Asia/Jakarta;Prengtale;03153 New Castle Plaza;4647;Frami-Doyle
108;Brazil;America/Sao_Paulo;Padre Bernardo;7331 Vernon Avenue;53268;Goldner-Hettinger
109;China;Asia/Chongqing;Zhongzhai;14 Sachs Lane;27132;Renner Group
110;China;Asia/Chongqing;Laolong;2 Summit Plaza;70196;Schuster LLC
111;Japan;Asia/Tokyo;Nagano-shi;45 Becker Crossing;92999;Roberts LLC
112;Republic of the Congo;Africa/Brazzaville;Djambala;1654 Blue Bill Park Parkway;71023;Cruickshank-O'Kon
113;Sweden;Europe/Stockholm;Gislaved;6 Arrowood Crossing;83073;Wisoky-Stiedemann
114;Vietnam;Asia/Ho_Chi_Minh;Nhà Bè;301 Park Meadow Drive;39895;Quitzon LLC
115;Colombia;America/Bogota;Vegachí;6425 John Wall Avenue;30697;O'Conner, Buckridge and Tillman
116;Indonesia;Asia/Jakarta;Umbultanjung;06038 Merrick Alley;91651;Ebert-Altenwerth
117;Brazil;America/Fortaleza;Granja;639 Macpherson Alley;80671;McLaughlin-Keeling
118;Indonesia;Asia/Jakarta;Jampang Kulon;6318 Tennyson Hill;66213;Kilback Inc
119;China;Asia/Shanghai;Litian;209 Lakeland Road;67799;Jast-D'Amore
120;Croatia;Europe/Zagreb;Marčelji;81 Oxford Circle;2984;Beier Group
121;Palestinian Territory;Asia/Jerusalem;Rantīs;68 Eastlawn Park;99363;Reichert Group
122;Democratic Republic of the Congo;Africa/Lubumbashi;Kisangani;27 Onsgard Alley;68218;Robel-Schultz
123;Czech Republic;Europe/Berlin;Šluknov;11149 Helena Pass;52531;Kuphal-Shanahan
124;Indonesia;Asia/Jakarta;Dateng;358 Vermont Pass;81966;Mosciski, Green and Bartoletti
125;Slovenia;Europe/Zagreb;Rakičan;57 Sutteridge Crossing;53484;Beier-Powlowski
126;China;Asia/Chongqing;Nanlang;5 Schmedeman Plaza;60312;Shanahan, Hilll and Paucek
127;China;Asia/Urumqi;Jimsar;66 Shopko Trail;15945;Runolfsdottir-Emard
128;China;Asia/Chongqing;Guanyinsi;33 Cody Hill;45622;Gorczany-Lockman
129;Netherlands;Europe/Amsterdam;Utrecht (stad);58354 Hansons Terrace;13115;Keeling-Wyman
130;Panama;America/Panama;La Colorada;8 Springview Drive;48641;Jenkins, O'Conner and Toy
131;Afghanistan;Asia/Kabul;Imām Şāḩib;9915 Fuller Street;99829;Jones Inc
132;China;Asia/Shanghai;Tuofeng;3762 Clove Avenue;64757;Kovacek-Wilderman
