ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,HP 255 G7,Used,Thin,HP,1.24,1790,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,1087.51
2,HP 255 G7,Used,Gaming,HP,1.24,1790,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,678.39
3,Asus ROG STRIX 5,New,For Cut Design,Asus,2.5,1245,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,832.49
4,Asus ROG STRIX 5,New,Thin,Asus,2.5,1245,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1204.62
5,Asus ROG STRIX 5,New,Gaming,Asus,2.5,2539,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1302.48
6,Asus ROG STRIX 5,New,Thin,Asus,1.24,2539,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,603.79
7,Asus ROG STRIX 5,New,Thin,Asus,2.34,1245,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,1219.39
8,Apple MacBook Pro,New,Thin,Apple,2.5,2539,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1051.38
9,Apple MacBook Pro,New,For Cut Design,Apple,2.5,1790,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1542.31
10,Apple MacBook Pro,New,For Cut Design,Apple,2.5,1790,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1984.94
11,Asus ROG STRIX 5,New,Gaming,Asus,2.34,1790,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1788.55
12,Apple MacBook Pro,New,Gaming,Apple,2.34,1790,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1369.43
13,Asus ROG STRIX 5,New,Thin,Asus,2.5,2539,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,521.59
14,HP 255 G7,Used,Thin,HP,2.5,2539,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,1551.95
15,Asus ROG STRIX 5,New,Gaming,Asus,2.5,2539,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1269.49
16,Apple MacBook Pro,New,Thin,Apple,1.24,1790,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1183.32
17,Apple MacBook Pro,New,Gaming,Apple,1.24,1790,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,905.02
18,Apple MacBook Pro,New,Thin,Apple,2.34,1790,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1236.58
19,HP 255 G7,Used,Gaming,HP,2.5,1790,Some description about laptop HP 255 G7,12,Default Garanty Used laptops,705.67
20,Asus ROG STRIX 5,New,For Cut Design,Asus,2.5,1790,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,834.78
21,Apple MacBook Pro,New,Gaming,Apple,2.34,2539,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1738.90
