ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,Apple MacBook Pro,New,Gaming,Apple,2.34,1790,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,724.62
2,HP 255 G7,Used,Thin,HP,2.5,1245,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1679.05
3,Asus ROG STRIX 5,New,For Cut Design,Asus,1.24,1790,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1319.33
4,Apple MacBook Pro,New,Gaming,Apple,2.34,1245,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,641.77
5,Asus ROG STRIX 5,New,For Cut Design,Asus,1.24,2539,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,706.87
6,Apple MacBook Pro,New,Gaming,Apple,2.34,1245,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1337.22
7,Asus ROG STRIX 5,New,For Cut Design,Asus,2.34,2539,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,808.21
8,Asus ROG STRIX 5,New,Gaming,Asus,2.34,1245,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,910.25
9,Apple MacBook Pro,New,Gaming,Apple,2.5,1790,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1362.11
10,HP 255 G7,Used,Gaming,HP,2.34,1790,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,850.39
11,Apple MacBook Pro,New,For Cut Design,Apple,2.5,2539,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,890.43
12,Apple MacBook Pro,New,Thin,Apple,2.34,2539,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1874.30
13,HP 255 G7,Used,For Cut Design,HP,2.5,1245,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,754.14
14,Apple MacBook Pro,New,For Cut Design,Apple,2.34,1790,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1667.88
15,Asus ROG STRIX 5,New,Gaming,Asus,2.5,2539,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1341.76
16,HP 255 G7,Used,Gaming,HP,2.5,2539,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1792.57
17,Asus ROG STRIX 5,New,For Cut Design,Asus,2.5,1245,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,1820.22
18,HP 255 G7,Used,Gaming,HP,1.24,1245,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,751.19
19,Apple MacBook Pro,New,Gaming,Apple,2.34,1245,Some description about laptop Apple MacBook Pro,6,Default Garanty Apple,1505.98
20,Apple MacBook Pro,New,Gaming,Apple,2.5,1245,Some description about laptop Apple MacBook Pro,12,Default Garanty Apple,1229.57
21,Asus ROG STRIX 5,New,Gaming,Asus,1.24,1790,Some description about laptop Asus ROG STRIX 5,1,Default Garanty Asus,1062.71
22,Asus ROG STRIX 5,New,For Cut Design,Asus,1.24,1790,Some description about laptop Asus ROG STRIX 5,6,Default Garanty Asus,771.22
23,HP 255 G7,Used,Thin,HP,2.34,1245,Some description about laptop HP 255 G7,1,Default Garanty Used laptops,1784.69
24,HP 255 G7,Used,For Cut Design,HP,2.5,2539,Some description about laptop HP 255 G7,6,Default Garanty Used laptops,1115.18
25,Asus ROG STRIX 5,New,Gaming,Asus,1.24,1790,Some description about laptop Asus ROG STRIX 5,12,Default Garanty Asus,1854.43
