ProductID,ProductName,CategoryName,SubcategoryName,BrandName,Thicknes,Weight,ProductDescription,DefaultGaranty,DefaultGarantyName,Price
1,Dream Machines RS206017,Used,Thin,Dream Machines,1.24,2312,Some description about laptop Dream Machines RS206017,6,Default Garanty Used laptops,1880.26
2,HP Pavilion Gaming 15cx0027ua,New,Thin,HP,2.34,2539,Some description about laptop HP Pavilion Gaming 15cx0027ua,6,Default Garanty HP,1751.81
3,MSI GF63 9RCX,New,For Business,MSI,2.78,2312,Some description about laptop MSI GF63 9RCX,6,Default Garanty MSI,713.56
4,Apple MacBook Air 13,New,Gaming,Apple,1.35,1305,Some description about laptop Apple MacBook Air 13,6,Default Garanty Used laptops,1407.44
5,Dell Inspiron G5 15 5587,Used,Thin,Dell,1.5,1305,Some description about laptop Dell Inspiron G5 15 5587,6,Default Garanty Used laptops,990.44
6,Microsoft Surface Laptop 3 15,Used,Thin,Microsoft,2.78,2536,Some description about laptop Microsoft Surface Laptop 3 15,12,Default Garanty Microsoft,690.59
7,Microsoft Surface Laptop 3 15,Used,For Business,Microsoft,2.78,1305,Some description about laptop Microsoft Surface Laptop 3 15,6,Default Garanty Microsoft,1575.10
8,Microsoft Surface Laptop 3 15,Used,For Simple Tasks,Microsoft,1.24,1305,Some description about laptop Microsoft Surface Laptop 3 15,1,Default Garanty Microsoft,1457.98
9,Apple MacBook Pro,New,Gaming,Apple,2.78,1234,Some description about laptop Apple MacBook Pro,1,Default Garanty Apple,1787.81
10,Acer Aspire 5 A51554G,Used,For Business,Acer,2.5,1790,Some description about laptop Acer Aspire 5 A51554G,12,Default Garanty Used laptops,1846.90
11,HP Pavilion Gaming 15cx0027ua,New,Thin,HP,2.56,2536,Some description about laptop HP Pavilion Gaming 15cx0027ua,12,Default Garanty HP,564.31
12,Acer Nitro 5,New,For Cut Design,Acer,1.35,2312,Some description about laptop Acer Nitro 5,6,Default Garanty Acer,845.22
13,Acer Nitro 5,New,Gaming,Acer,2.78,1245,Some description about laptop Acer Nitro 5,12,Default Garanty Acer,652.49
14,Macbook Pro 15 Retina,New,Gaming,Apple,1.35,1234,Some description about laptop Macbook Pro 15 Retina,6,Default Garanty Apple,1606.70
