SupplierID,SupplierName,SupplierEmail,SupplierPhone,SupplierDescription
1,,,
2,,,,
3,Gottra, gtra@gotra@gmail.com,0965941031,Ola-la
4,Gottra, gtra!gotra@gmail.com,0965941032,Ola-la
5,Qwerty,qwerty@qwerty.com,0975941031,super
6,Qwerty,qwerty@qwerty.com,0975941031,super
7,,,,
8,Qazwe,qazxX@qazz.com,0975845923,the best
9,Zxcvb,,4668735278,wow
10,Plmnn,-ooioio@oioio.ua,0999493831, hmmmm
11,HHNHN,hfhghgh@gre.qwe,543,holy cow!
12,Qazwe,qazxX@qazz.com,0975845923,the best
13,UYUYUY,&&&ddddd, 0887462109,the worst
