Data,PaymentID,GarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty
2019-02-04,46,15014,1125,45,58642,1,4525.01,24586.81,2021-04-19
2019-06-03,40,62391,7008,34,25835,22,2873.9,45997.8,2019-07-17
2019-05-04,13,43634,3624,11,25580,56,5541.08,1459.81,2020-09-13
2019-09-25,76,42609,3275,76,3691,56,6142.42,19992.76,2020-03-03
2019-03-21,44,25205,216,53,25261,73,1322.9,34363.04,2021-12-26
2019-03-25,92,17013,9170,4,12850,25,6627.98,4438.27,2021-10-19
2019-03-21,87,50337,6032,20,61225,44,3158.61,41453.43,2021-11-30
2019-11-21,7,36266,2300,70,26601,57,5733.41,25504.48,2021-12-22
2019-06-16,47,66982,4211,19,19307,53,2387.23,13228.98,2020-09-06
2019-02-28,66,22278,6454,95,17005,34,6644.39,22856.14,2020-09-15
2020-01-08,48,20144,15,76,11511,8,1105.6,6709.59,2020-04-02
2019-10-04,26,68201,4308,68,41118,81,7163.99,46505.43,2020-02-01
2019-08-19,45,19645,1712,87,58292,16,4468.92,887.43,2021-12-01
2019-12-12,94,58873,8127,9,10235,13,771.19,16463.11,2022-01-26
2019-05-14,2,35317,1127,40,17555,82,1940.47,11615.82,2020-06-18
2019-05-15,71,57291,4055,73,27928,97,1087.24,45309.83,2020-01-11
2019-05-17,50,17357,7398,94,33581,68,955.0,20616.52,2021-03-30
2020-01-07,31,14362,1345,64,41365,35,4875.48,40460.09,2020-02-29
2019-02-26,28,26102,8042,97,35932,7,1375.1,20295.65,2020-01-18
2019-08-13,18,55824,4644,30,18194,32,805.06,20895.13,2020-06-06
2019-11-01,28,58112,33,51,10537,71,5803.16,37132.72,2019-11-29
2019-08-18,13,67574,5041,5,32211,3,6341.63,42767.76,2019-08-15
2019-09-07,86,45285,2637,69,6081,15,1484.5,419.94,2019-05-31
2019-11-01,86,24941,1823,84,9828,38,4994.71,166.03,2021-11-22
2019-11-02,85,3289,4030,23,19177,27,5333.11,8667.97,2019-09-05
2019-07-22,54,25727,9697,47,51615,95,8189.14,1847.16,2021-08-14
2019-07-03,26,52064,873,70,9288,63,6995.51,41442.28,2021-11-16
2019-05-06,12,32249,7160,44,54713,65,2267.07,16395.38,2020-08-06
2019-09-04,63,53963,3779,52,55296,80,4125.24,23791.4,2020-11-16
2019-11-25,84,4096,2920,13,3535,22,3992.07,18120.16,2020-02-29
2019-01-25,31,34051,2139,14,35741,24,9955.53,28030.02,2019-11-19
2019-03-16,68,33443,7065,94,49263,60,7218.14,45175.13,2021-03-05
2019-11-19,57,46888,2067,57,43053,86,3163.82,6904.05,2020-09-20
2019-11-25,25,64172,7709,1,29951,83,7809.35,13539.97,2021-07-30
2019-12-24,49,42798,8319,1,10942,47,7841.17,4377.35,2020-04-22
2019-03-20,55,61130,5388,96,53097,1,5903.93,47155.38,2019-05-07
2019-07-28,69,43837,101,57,21478,33,9728.89,46544.73,2020-03-14
2019-07-27,94,282,2320,54,59032,83,1724.32,27597.41,2020-10-15
2019-10-22,3,18422,8408,92,25163,13,8160.06,2422.83,2020-06-03
2019-02-14,1,46582,1559,60,9364,61,3979.17,5213.94,2020-07-02
2019-07-03,28,16585,6890,9,37986,50,5054.38,2259.06,2020-01-20
2019-12-20,94,7316,830,48,1789,96,2981.6,389.38,2021-10-10
2019-09-30,54,63997,2100,14,44978,23,6446.61,10366.38,2021-02-23
2019-10-13,60,65647,1687,50,49867,31,8133.08,27539.09,2020-08-08
2019-11-15,71,8565,997,22,12518,52,2471.58,7048.25,2019-02-22
2019-10-21,71,52386,215,25,57606,82,8877.11,19927.49,2020-04-29
2019-10-19,99,45341,7677,67,43010,23,3021.5,17304.1,2021-07-21
2019-09-06,32,38217,2652,11,5900,35,8080.32,36663.83,2019-11-20
2019-05-12,30,72709,158,59,10368,95,3163.32,49161.05,2021-01-23
2019-03-17,4,71085,4883,68,58597,7,1684.74,49333.6,2019-04-30
2019-01-18,96,35112,2999,69,29906,75,6849.73,44675.16,2019-08-07
2019-04-14,30,14296,2525,67,52883,95,9244.67,6557.17,2022-01-20
2019-07-10,83,214,4885,43,44522,100,1780.28,38292.95,2020-08-07
2019-05-25,70,10379,7610,22,39112,75,4260.1,7504.79,2019-04-03
2019-12-28,60,2768,3202,91,50505,93,4814.21,23625.15,2019-04-10
2019-01-23,43,53834,516,82,49937,5,8368.57,17651.07,2020-05-23
2019-04-26,49,57002,5383,98,12979,40,8245.88,46604.02,2020-11-28
2019-06-16,89,21929,374,11,16843,10,3863.72,26718.1,2021-01-04
2019-11-08,45,29839,1797,90,15004,30,1654.82,14271.32,2021-02-01
2019-05-06,14,42474,2414,90,61033,62,2703.11,18126.71,2019-11-20
2019-11-13,16,74358,3085,69,29172,43,5340.32,34091.54,2020-06-02
2019-08-16,93,27784,2312,19,15487,71,9060.31,41479.55,2021-12-02
2019-07-23,35,44359,2841,2,24928,45,7591.33,7688.18,2021-06-11
2019-05-13,22,40573,4767,94,2598,52,2049.32,9076.33,2019-12-30
2019-04-12,80,34065,4549,24,12600,89,5789.24,33033.03,2019-05-19
2019-07-28,45,37566,2557,10,39223,89,5192.95,20171.78,2019-02-09
2019-04-30,49,30373,5283,30,21930,91,3362.84,49873.35,2020-10-02
2019-04-19,67,15456,8406,17,1063,14,5504.35,42351.84,2021-11-12
2019-10-19,49,4541,8854,81,7824,11,5945.67,14844.11,2021-10-18
2019-04-14,34,10742,78,80,46427,98,459.89,45995.46,2021-06-03
2019-07-04,83,67071,777,28,21958,11,4918.54,12928.77,2019-08-07
2019-11-16,11,48446,4299,52,1003,70,4712.83,47076.07,2021-06-11
2019-06-16,73,26624,1573,79,58827,37,1696.28,19615.91,2021-10-25
2019-10-03,53,48276,6235,69,61065,86,3458.73,47373.02,2019-06-06
2019-04-12,65,31033,7447,41,19856,42,9626.93,33142.98,2021-12-27
2019-03-17,48,37944,7450,87,52992,13,8171.52,8431.43,2019-02-24
2019-05-18,47,25144,5416,78,29484,39,3659.39,16408.14,2021-05-10
2019-09-21,59,39530,8131,37,17810,10,5573.44,5992.55,2019-02-23
2019-02-12,68,14201,2792,15,58340,65,278.36,22254.43,2020-10-23
2019-11-03,18,26261,7105,52,38545,1,863.21,22758.17,2019-06-16
2019-08-27,4,24850,9904,23,14867,76,1640.73,46478.76,2019-06-23
2019-08-09,62,14978,6948,22,16712,13,275.7,4309.34,2019-10-10
2019-02-14,10,73252,8073,41,52836,16,2175.87,8469.79,2019-07-26
2019-10-07,96,15957,8743,13,43967,27,8697.56,38809.94,2021-07-13
2019-12-15,47,18752,1155,21,47839,65,4595.4,33921.14,2021-01-30
2019-05-22,86,25274,8262,99,5912,73,2600.38,25444.96,2021-05-19
2019-11-18,78,32179,571,38,2427,54,3346.42,18825.83,2020-05-04
2019-08-06,11,13609,8099,9,35580,34,4591.42,18874.32,2020-06-16
2019-10-08,13,7121,6246,4,18961,90,7245.19,6405.34,2020-03-31
2019-11-28,63,69369,6213,12,53606,45,3164.55,19876.3,2019-03-29
2019-07-22,95,15747,2644,21,47317,14,5340.91,44083.29,2021-01-13
2019-01-26,37,22658,1272,42,54240,27,6459.69,18962.77,2021-07-20
2019-05-16,90,69394,5287,30,44430,78,2253.91,24365.56,2021-04-29
2019-12-23,69,21011,8517,85,49804,44,89.25,49107.35,2021-09-04
2019-09-18,19,63276,5196,100,15673,83,7453.15,43885.94,2022-01-11
2019-04-01,98,8806,1873,88,61153,97,6705.08,27384.34,2019-10-31
2019-08-27,67,61144,7511,31,18998,54,791.88,27721.77,2020-02-10
2019-09-14,32,55919,3674,50,52969,42,1601.4,16963.02,2020-10-04
2019-06-26,72,42700,1189,8,15027,82,3569.05,41911.94,2020-12-28
2019-01-13,62,41310,1226,49,53903,91,1597.3,34761.43,2019-10-13
2020-01-05,26,70469,9589,37,14956,14,1501.79,20913.19,2019-06-06
2019-09-25,48,51124,7434,23,33261,35,7554.26,15911.41,2019-11-28
2019-01-24,28,5555,35,55,63556,24,9162.37,11690.03,2021-02-08
2019-11-13,65,61206,227,24,11852,71,3533.28,35473.3,2020-03-04
2019-05-05,86,9943,259,15,36734,13,8510.49,37535.56,2019-12-10
2019-10-16,79,69057,2537,18,4719,26,8893.24,15890.87,2019-08-05
2019-04-05,16,40209,869,84,10793,71,3209.03,5736.09,2020-07-05
2019-03-02,34,67682,433,24,54422,77,9823.92,26878.13,2021-10-14
2019-07-23,84,28551,3613,95,38287,6,8589.65,29673.59,2020-06-19
2019-08-24,91,51791,4566,80,46643,90,7296.72,8984.6,2020-01-13
2019-10-15,69,16397,7119,55,45870,4,2026.49,8247.12,2019-07-30
2020-01-06,18,30292,1801,49,23698,46,5355.26,22542.27,2020-11-11
2019-04-04,6,66239,5974,58,32556,42,4266.38,1561.39,2021-10-17
2019-01-18,45,43561,3169,51,25872,97,2773.54,8471.68,2021-08-18
2019-02-21,4,57418,1301,34,11149,17,2775.78,9949.35,2020-02-08
2019-09-21,71,51700,275,13,44524,33,9270.57,32951.96,2019-04-22
2019-03-05,56,10646,1361,99,17054,62,4348.62,38565.35,2021-04-27
2019-06-19,8,1215,814,100,17464,60,6143.83,46430.47,2020-03-04
2019-02-18,66,11844,5163,44,25638,51,4126.35,18305.23,2021-01-24
2019-04-26,87,21199,6401,68,48888,46,7825.13,26355.03,2021-02-08
2019-08-08,69,48201,9798,32,4752,57,2529.0,4795.56,2019-08-10
2019-12-10,95,741,3891,72,8880,45,7646.38,33551.18,2020-06-08
2019-02-23,82,30339,8197,38,50714,21,1655.63,49107.47,2020-02-01
2019-08-09,82,72284,9601,88,21602,62,1818.44,11608.06,2019-07-21
2019-05-14,8,5763,2781,33,18329,87,9885.32,3465.21,2020-06-08
2019-11-13,84,68296,6445,13,50063,65,7457.7,33765.25,2021-12-05
2019-04-04,70,33502,553,67,56722,87,2701.28,19036.34,2020-10-11
2019-01-26,81,51955,8964,25,35854,93,5701.52,33116.66,2020-12-28
2019-10-28,34,37376,8535,76,22694,55,7291.33,41781.95,2021-12-03
2019-06-06,8,6703,6574,56,23047,72,9489.2,10019.87,2021-04-11
2019-03-23,65,52155,4375,65,12393,47,3816.25,40813.34,2019-05-28
2019-06-29,51,33008,5310,93,53004,83,1703.33,17341.2,2020-07-24
2019-12-20,73,54393,8260,8,381,12,5913.7,38937.85,2019-10-21
2019-01-30,70,38205,3631,91,28449,21,9900.72,33621.09,2020-09-06
2019-12-15,35,34509,7478,16,35850,97,5390.28,22728.18,2019-03-29
2019-05-02,50,31019,8149,88,9523,27,138.09,17196.61,2021-12-28
2019-07-01,33,11240,3874,77,53273,11,2519.25,8649.46,2021-01-12
2019-09-16,51,49919,1779,74,33130,55,7442.79,42726.36,2019-04-03
2019-06-06,6,39485,5428,5,39760,54,1218.6,12298.57,2021-05-08
2019-03-09,77,2801,4809,100,49975,73,6393.9,44001.48,2021-02-03
2019-02-06,98,25159,1224,75,60784,51,1506.3,20615.37,2020-04-10
2019-10-08,61,31277,4708,95,20049,91,2405.12,38890.48,2020-07-27
2019-03-25,68,66984,1419,10,8129,31,3552.99,38948.98,2020-11-05
2019-03-14,80,53967,7245,43,21553,29,5797.39,11618.05,2022-01-14
2019-12-30,2,69992,6914,36,51024,35,8182.58,21114.86,2021-06-09
2019-01-11,48,60365,8856,76,6224,63,1788.32,1075.49,2022-01-25
2019-01-23,85,41266,4284,11,42523,56,5194.5,37190.54,2021-06-01
2019-06-13,87,60180,9282,80,4904,73,8514.62,5390.11,2020-03-01
2019-02-16,15,70480,7791,50,22201,64,5431.87,905.99,2019-12-14
2019-09-16,54,45220,9188,19,11077,56,3654.46,4779.75,2019-04-30
2019-02-23,99,51115,4516,77,55711,10,1518.36,45080.64,2019-12-28
2019-08-08,94,72519,122,81,39633,85,7112.2,22938.23,2020-07-09
2019-12-25,88,30312,3110,4,62893,75,8337.47,32596.85,2019-06-13
2019-02-08,30,45909,8452,10,34609,58,5098.84,18848.0,2022-01-12
2019-12-11,9,30604,1416,17,38773,6,4881.53,16842.68,2021-01-21
2019-10-18,44,73422,791,74,58168,34,7505.25,15778.94,2019-03-12
2019-07-16,17,15672,9837,40,20241,9,4104.87,24966.42,2019-04-16
2019-09-03,47,36002,5782,93,53463,78,922.55,4092.33,2020-11-13
2019-04-13,31,1176,5228,1,23270,6,9900.14,6176.51,2020-12-14
2019-07-22,86,35438,1496,7,7240,53,6315.71,6222.84,2020-09-03
2019-08-04,68,18922,3008,64,50926,42,2556.18,36511.39,2019-02-18
2019-04-16,87,16556,3559,10,24277,81,2527.89,29988.17,2022-01-20
2019-03-10,13,55321,9518,90,25957,41,2786.59,9417.66,2021-04-09
2019-02-10,39,74090,2104,75,57077,67,5422.18,20244.83,2021-03-03
2019-03-15,75,59332,1813,58,35409,31,6905.16,1792.44,2020-03-28
2019-12-19,20,71322,3868,96,14855,37,5252.32,30419.08,2021-11-13
